"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",300.216339111328,2.21058392431587,2000-01-01,1,1,1,2000
"2000-01-02",300.403900146484,1.58641620352864,2000-01-02,2,1,2,2000
"2000-01-03",300.234527587891,2.17978746723384,2000-01-03,3,1,3,2000
"2000-01-04",300.323211669922,2.23393576592207,2000-01-04,4,1,4,2000
"2000-01-05",299.905487060547,2.43439369555563,2000-01-05,5,1,5,2000
"2000-01-06",299.766693115234,3.02167541533709,2000-01-06,6,1,6,2000
"2000-01-07",299.544525146484,2.36203060578555,2000-01-07,7,1,7,2000
"2000-01-08",299.556976318359,2.2736063990742,2000-01-08,8,1,8,2000
"2000-01-09",299.702972412109,2.21814434882253,2000-01-09,9,1,9,2000
"2000-01-10",299.580505371094,2.46310491766781,2000-01-10,10,1,10,2000
"2000-01-11",299.441558837891,2.38757527992129,2000-01-11,11,1,11,2000
"2000-01-12",299.751861572266,2.22823221143335,2000-01-12,12,1,12,2000
"2000-01-13",299.965789794922,2.39255908224732,2000-01-13,13,1,13,2000
"2000-01-14",299.585327148438,2.94637589342892,2000-01-14,14,1,14,2000
"2000-01-15",299.696411132812,2.30109444167465,2000-01-15,15,1,15,2000
"2000-01-16",299.643676757812,2.38690037559718,2000-01-16,16,1,16,2000
"2000-01-17",300.180969238281,1.41432836814784,2000-01-17,17,1,17,2000
"2000-01-18",300.663055419922,0.833653072826564,2000-01-18,18,1,18,2000
"2000-01-19",300.567901611328,0.358492449391633,2000-01-19,19,1,19,2000
"2000-01-20",300.587097167969,1.3185238041915,2000-01-20,20,1,20,2000
"2000-01-21",300.182373046875,2.17932632938027,2000-01-21,21,1,21,2000
"2000-01-22",300.122497558594,3.22119134664536,2000-01-22,22,1,22,2000
"2000-01-23",300.431579589844,1.45514659769833,2000-01-23,23,1,23,2000
"2000-01-24",300.368469238281,0.621908179949969,2000-01-24,24,1,24,2000
"2000-01-25",300.347473144531,0.725471676560119,2000-01-25,25,1,25,2000
"2000-01-26",300.562530517578,1.04107898729853,2000-01-26,26,1,26,2000
"2000-01-27",300.713531494141,0.239900012384169,2000-01-27,27,1,27,2000
"2000-01-28",300.715179443359,0.145868833380518,2000-01-28,28,1,28,2000
"2000-01-29",300.842376708984,0.481675747781992,2000-01-29,29,1,29,2000
"2000-01-30",301.019927978516,0.709002607502043,2000-01-30,30,1,30,2000
"2000-01-31",300.661834716797,0.77418933075387,2000-01-31,31,1,31,2000
"2000-02-01",300.760894775391,0.596301807905547,2000-02-01,32,2,1,2000
"2000-02-02",301.274017333984,0.388951654545963,2000-02-02,33,2,2,2000
"2000-02-03",301.884765625,0.410596727597294,2000-02-03,34,2,3,2000
"2000-02-04",301.7587890625,1.03837057505734,2000-02-04,35,2,4,2000
"2000-02-05",301.700561523438,0.248713565821163,2000-02-05,36,2,5,2000
"2000-02-06",301.162292480469,0.113481270487682,2000-02-06,37,2,6,2000
"2000-02-07",300.983245849609,0.239026581461076,2000-02-07,38,2,7,2000
"2000-02-08",300.653228759766,1.27092497609556,2000-02-08,39,2,8,2000
"2000-02-09",301.162567138672,0.908484732732177,2000-02-09,40,2,9,2000
"2000-02-10",300.877960205078,3.73373539745808,2000-02-10,41,2,10,2000
"2000-02-11",301.198181152344,0.426596728735603,2000-02-11,42,2,11,2000
"2000-02-12",300.227935791016,1.43580265715718,2000-02-12,43,2,12,2000
"2000-02-13",300.385833740234,2.00363882631063,2000-02-13,44,2,13,2000
"2000-02-14",300.907592773438,3.48584403470159,2000-02-14,45,2,14,2000
"2000-02-15",300.223419189453,5.11606647074223,2000-02-15,46,2,15,2000
"2000-02-16",299.770965576172,4.42367212474346,2000-02-16,47,2,16,2000
"2000-02-17",300.16748046875,4.44381516426802,2000-02-17,48,2,17,2000
"2000-02-18",300.832275390625,1.30503650568426,2000-02-18,49,2,18,2000
"2000-02-19",300.599426269531,2.03914384916425,2000-02-19,50,2,19,2000
"2000-02-20",300.378814697266,2.80953418463469,2000-02-20,51,2,20,2000
"2000-02-21",299.87646484375,7.06178784370422,2000-02-21,52,2,21,2000
"2000-02-22",300.087615966797,6.2692237496376,2000-02-22,53,2,22,2000
"2000-02-23",300.269317626953,3.66153768450022,2000-02-23,54,2,23,2000
"2000-02-24",300.398895263672,2.87785299867392,2000-02-24,55,2,24,2000
"2000-02-25",300.168487548828,4.28597341477871,2000-02-25,56,2,25,2000
"2000-02-26",300.800537109375,1.25494797155261,2000-02-26,57,2,26,2000
"2000-02-27",300.607421875,1.468336192891,2000-02-27,58,2,27,2000
"2000-02-28",300.566192626953,1.70361044164747,2000-02-28,59,2,28,2000
"2000-02-29",300.34228515625,1.08624058589339,2000-02-29,60,2,29,2000
"2000-03-01",300.509490966797,1.04829531162977,2000-03-01,61,3,1,2000
"2000-03-02",300.557861328125,2.71164349094033,2000-03-02,62,3,2,2000
"2000-03-03",300.735656738281,1.25240596011281,2000-03-03,63,3,3,2000
"2000-03-04",300.689239501953,2.9457781650126,2000-03-04,64,3,4,2000
"2000-03-05",300.143951416016,3.60091228783131,2000-03-05,65,3,5,2000
"2000-03-06",300.105529785156,3.28123794496059,2000-03-06,66,3,6,2000
"2000-03-07",300.370666503906,1.70494689233601,2000-03-07,67,3,7,2000
"2000-03-08",300.282531738281,2.96059480309486,2000-03-08,68,3,8,2000
"2000-03-09",300.811798095703,1.54051617719233,2000-03-09,69,3,9,2000
"2000-03-10",301.150024414062,1.18084628693759,2000-03-10,70,3,10,2000
"2000-03-11",301.284515380859,0.667848017532378,2000-03-11,71,3,11,2000
"2000-03-12",301.210815429688,0.202250612179341,2000-03-12,72,3,12,2000
"2000-03-13",301.425476074219,0.379037312231958,2000-03-13,73,3,13,2000
"2000-03-14",301.242095947266,0.601705779787153,2000-03-14,74,3,14,2000
"2000-03-15",300.997955322266,0.453969315043651,2000-03-15,75,3,15,2000
"2000-03-16",300.561187744141,0.309158927993849,2000-03-16,76,3,16,2000
"2000-03-17",300.534484863281,0.232234125927789,2000-03-17,77,3,17,2000
"2000-03-18",300.517242431641,1.95666140504181,2000-03-18,78,3,18,2000
"2000-03-19",300.919281005859,1.31983863376081,2000-03-19,79,3,19,2000
"2000-03-20",300.937713623047,0.727929311047774,2000-03-20,80,3,20,2000
"2000-03-21",300.679534912109,1.04922510427423,2000-03-21,81,3,21,2000
"2000-03-22",300.905670166016,0.682022004853934,2000-03-22,82,3,22,2000
"2000-03-23",300.663970947266,1.91487525962293,2000-03-23,83,3,23,2000
"2000-03-24",300.311706542969,2.52573722600937,2000-03-24,84,3,24,2000
"2000-03-25",300.089965820312,0.884735004743561,2000-03-25,85,3,25,2000
"2000-03-26",299.964141845703,2.19791930913925,2000-03-26,86,3,26,2000
"2000-03-27",300.010711669922,1.56326723098755,2000-03-27,87,3,27,2000
"2000-03-28",299.835998535156,1.74945272319019,2000-03-28,88,3,28,2000
"2000-03-29",299.946990966797,1.18069245480001,2000-03-29,89,3,29,2000
"2000-03-30",299.677490234375,2.04271414503455,2000-03-30,90,3,30,2000
"2000-03-31",299.794128417969,3.63399886712432,2000-03-31,91,3,31,2000
"2000-04-01",300.361907958984,5.40043456852436,2000-04-01,92,4,1,2000
"2000-04-02",300.833740234375,2.8108019027859,2000-04-02,93,4,2,2000
"2000-04-03",300.341766357422,1.23299740627408,2000-04-03,94,4,3,2000
"2000-04-04",300.019989013672,3.40707463771105,2000-04-04,95,4,4,2000
"2000-04-05",300.711517333984,2.46942937001586,2000-04-05,96,4,5,2000
"2000-04-06",300.824829101562,1.68151322752237,2000-04-06,97,4,6,2000
"2000-04-07",300.706939697266,1.05071702040732,2000-04-07,98,4,7,2000
"2000-04-08",300.365966796875,3.36862198635936,2000-04-08,99,4,8,2000
"2000-04-09",300.824279785156,1.10022481158376,2000-04-09,100,4,9,2000
"2000-04-10",300.824768066406,0.703546959441155,2000-04-10,101,4,10,2000
"2000-04-11",300.766937255859,1.61530257714912,2000-04-11,102,4,11,2000
"2000-04-12",300.406951904297,4.61622875928879,2000-04-12,103,4,12,2000
"2000-04-13",300.667694091797,3.16616151854396,2000-04-13,104,4,13,2000
"2000-04-14",300.575286865234,2.1981855891645,2000-04-14,105,4,14,2000
"2000-04-15",299.994903564453,3.46403555944562,2000-04-15,106,4,15,2000
"2000-04-16",299.912353515625,2.78062419593334,2000-04-16,107,4,16,2000
"2000-04-17",300.156158447266,4.09030709415674,2000-04-17,108,4,17,2000
"2000-04-18",299.946380615234,2.46537429839373,2000-04-18,109,4,18,2000
"2000-04-19",300.076965332031,2.31779785454273,2000-04-19,110,4,19,2000
"2000-04-20",300.025695800781,1.65439248457551,2000-04-20,111,4,20,2000
"2000-04-21",300.549285888672,0.554396937834099,2000-04-21,112,4,21,2000
"2000-04-22",300.882781982422,0.0493905479497698,2000-04-22,113,4,22,2000
"2000-04-23",300.692840576172,0.173881487382005,2000-04-23,114,4,23,2000
"2000-04-24",300.108795166016,3.10765330120921,2000-04-24,115,4,24,2000
"2000-04-25",299.71875,3.34442016296089,2000-04-25,116,4,25,2000
"2000-04-26",299.390716552734,2.17296192795038,2000-04-26,117,4,26,2000
"2000-04-27",299.728149414062,3.48611483722925,2000-04-27,118,4,27,2000
"2000-04-28",300.319702148438,1.80668705701828,2000-04-28,119,4,28,2000
"2000-04-29",300.196929931641,1.23547608777881,2000-04-29,120,4,29,2000
"2000-04-30",300.059478759766,1.91203975863755,2000-04-30,121,4,30,2000
"2000-05-01",299.812927246094,2.28151433728635,2000-05-01,122,5,1,2000
"2000-05-02",299.825408935547,3.55901362001896,2000-05-02,123,5,2,2000
"2000-05-03",299.883392333984,1.38510990142822,2000-05-03,124,5,3,2000
"2000-05-04",299.982452392578,2.02102053910494,2000-05-04,125,5,4,2000
"2000-05-05",299.906707763672,2.50322585552931,2000-05-05,126,5,5,2000
"2000-05-06",299.787139892578,1.70648051053286,2000-05-06,127,5,6,2000
"2000-05-07",299.804931640625,2.78104109317064,2000-05-07,128,5,7,2000
"2000-05-08",300.121276855469,2.39711774513125,2000-05-08,129,5,8,2000
"2000-05-09",299.837615966797,1.47649791091681,2000-05-09,130,5,9,2000
"2000-05-10",299.313232421875,0.855899497168139,2000-05-10,131,5,10,2000
"2000-05-11",299.148132324219,1.41281105671078,2000-05-11,132,5,11,2000
"2000-05-12",299.4267578125,3.30647464841604,2000-05-12,133,5,12,2000
"2000-05-13",299.215301513672,3.46569050848484,2000-05-13,134,5,13,2000
"2000-05-14",299.224517822266,1.97442859783769,2000-05-14,135,5,14,2000
"2000-05-15",299.021209716797,1.57825158722699,2000-05-15,136,5,15,2000
"2000-05-16",299.208404541016,0.926390500739217,2000-05-16,137,5,16,2000
"2000-05-17",299.299346923828,2.99877566285431,2000-05-17,138,5,17,2000
"2000-05-18",300.032684326172,2.01829065941274,2000-05-18,139,5,18,2000
"2000-05-19",300.217132568359,1.19134834071156,2000-05-19,140,5,19,2000
"2000-05-20",300.147796630859,0.412794888019562,2000-05-20,141,5,20,2000
"2000-05-21",299.27001953125,3.19309857487679,2000-05-21,142,5,21,2000
"2000-05-22",299.335418701172,5.21920473873615,2000-05-22,143,5,22,2000
"2000-05-23",299.252960205078,3.24665538221598,2000-05-23,144,5,23,2000
"2000-05-24",299.187133789062,1.98967443406582,2000-05-24,145,5,24,2000
"2000-05-25",299.311798095703,2.85749637521803,2000-05-25,146,5,25,2000
"2000-05-26",299.321685791016,2.52253230661154,2000-05-26,147,5,26,2000
"2000-05-27",299.297088623047,2.67999972496182,2000-05-27,148,5,27,2000
"2000-05-28",299.276763916016,0.872114122845232,2000-05-28,149,5,28,2000
"2000-05-29",299.616363525391,0.460243227891624,2000-05-29,150,5,29,2000
"2000-05-30",299.662200927734,0.492334460839629,2000-05-30,151,5,30,2000
"2000-05-31",299.488739013672,0.763324191793799,2000-05-31,152,5,31,2000
"2000-06-01",299.776397705078,2.82382881268859,2000-06-01,153,6,1,2000
"2000-06-02",299.502655029297,2.55204588640481,2000-06-02,154,6,2,2000
"2000-06-03",299.247039794922,2.15471698716283,2000-06-03,155,6,3,2000
"2000-06-04",298.845367431641,3.36836119741201,2000-06-04,156,6,4,2000
"2000-06-05",298.538360595703,5.09258510917425,2000-06-05,157,6,5,2000
"2000-06-06",298.659759521484,1.23014643974602,2000-06-06,158,6,6,2000
"2000-06-07",298.864715576172,2.28216294199228,2000-06-07,159,6,7,2000
"2000-06-08",299.135467529297,1.70951619185507,2000-06-08,160,6,8,2000
"2000-06-09",298.66162109375,1.59590533934534,2000-06-09,161,6,9,2000
"2000-06-10",298.533905029297,2.59203720837831,2000-06-10,162,6,10,2000
"2000-06-11",298.643463134766,2.0268167424947,2000-06-11,163,6,11,2000
"2000-06-12",298.305328369141,1.73041716590524,2000-06-12,164,6,12,2000
"2000-06-13",298.212249755859,2.6235909499228,2000-06-13,165,6,13,2000
"2000-06-14",298.316680908203,1.91784029919654,2000-06-14,166,6,14,2000
"2000-06-15",298.556396484375,3.21831660531461,2000-06-15,167,6,15,2000
"2000-06-16",298.754852294922,4.04907389730215,2000-06-16,168,6,16,2000
"2000-06-17",298.473175048828,4.98518989980221,2000-06-17,169,6,17,2000
"2000-06-18",298.541107177734,2.60797195136547,2000-06-18,170,6,18,2000
"2000-06-19",298.933746337891,2.47725703194737,2000-06-19,171,6,19,2000
"2000-06-20",298.9140625,1.4574474170804,2000-06-20,172,6,20,2000
"2000-06-21",298.797882080078,1.95999142061919,2000-06-21,173,6,21,2000
"2000-06-22",298.987396240234,0.81698590144515,2000-06-22,174,6,22,2000
"2000-06-23",298.568664550781,1.17664578929543,2000-06-23,175,6,23,2000
"2000-06-24",298.371704101562,4.041833139956,2000-06-24,176,6,24,2000
"2000-06-25",298.17041015625,4.3857939094305,2000-06-25,177,6,25,2000
"2000-06-26",298.250793457031,2.65409123525023,2000-06-26,178,6,26,2000
"2000-06-27",298.559234619141,1.81314975302666,2000-06-27,179,6,27,2000
"2000-06-28",298.364410400391,0.941186916083097,2000-06-28,180,6,28,2000
"2000-06-29",297.8544921875,3.31767197325826,2000-06-29,181,6,29,2000
"2000-06-30",298.245391845703,1.25388994440436,2000-06-30,182,6,30,2000
"2000-07-01",298.141448974609,1.37493640370667,2000-07-01,183,7,1,2000
"2000-07-02",297.757873535156,1.99037681799382,2000-07-02,184,7,2,2000
"2000-07-03",298.030303955078,3.05363578163087,2000-07-03,185,7,3,2000
"2000-07-04",297.975860595703,2.49882122501731,2000-07-04,186,7,4,2000
"2000-07-05",297.948883056641,2.71498410962522,2000-07-05,187,7,5,2000
"2000-07-06",298.198547363281,0.93225421058014,2000-07-06,188,7,6,2000
"2000-07-07",297.973815917969,0.707325356313959,2000-07-07,189,7,7,2000
"2000-07-08",297.865936279297,2.81268382817507,2000-07-08,190,7,8,2000
"2000-07-09",297.831878662109,2.57494578510523,2000-07-09,191,7,9,2000
"2000-07-10",298.046234130859,1.54246518574655,2000-07-10,192,7,10,2000
"2000-07-11",298.273162841797,4.69743677228689,2000-07-11,193,7,11,2000
"2000-07-12",298.187133789062,1.43344526737928,2000-07-12,194,7,12,2000
"2000-07-13",298.001434326172,2.52846021950245,2000-07-13,195,7,13,2000
"2000-07-14",297.879516601562,1.70865024253726,2000-07-14,196,7,14,2000
"2000-07-15",297.701538085938,3.7363171800971,2000-07-15,197,7,15,2000
"2000-07-16",297.561248779297,3.78363934345543,2000-07-16,198,7,16,2000
"2000-07-17",298.078460693359,0.0358956909312838,2000-07-17,199,7,17,2000
"2000-07-18",298.335479736328,1.01157817619105,2000-07-18,200,7,18,2000
"2000-07-19",298.066864013672,2.365531164407,2000-07-19,201,7,19,2000
"2000-07-20",297.778961181641,2.53718312457204,2000-07-20,202,7,20,2000
"2000-07-21",297.858612060547,1.51062054187059,2000-07-21,203,7,21,2000
"2000-07-22",297.743316650391,2.66393938288093,2000-07-22,204,7,22,2000
"2000-07-23",298.122619628906,1.18544076941907,2000-07-23,205,7,23,2000
"2000-07-24",298.120941162109,0.265248544164933,2000-07-24,206,7,24,2000
"2000-07-25",298.227111816406,1.79232995118946,2000-07-25,207,7,25,2000
"2000-07-26",297.962432861328,4.11055944859982,2000-07-26,208,7,26,2000
"2000-07-27",297.383392333984,1.85536197945476,2000-07-27,209,7,27,2000
"2000-07-28",297.186859130859,3.11129880696535,2000-07-28,210,7,28,2000
"2000-07-29",297.117523193359,2.23499501124024,2000-07-29,211,7,29,2000
"2000-07-30",297.399505615234,1.32358101755381,2000-07-30,212,7,30,2000
"2000-07-31",297.400726318359,5.45374592393637,2000-07-31,213,7,31,2000
"2000-08-01",297.721710205078,4.25226074457169,2000-08-01,214,8,1,2000
"2000-08-02",297.693817138672,3.20971529558301,2000-08-02,215,8,2,2000
"2000-08-03",297.553558349609,2.91806258261204,2000-08-03,216,8,3,2000
"2000-08-04",297.877349853516,4.0342128649354,2000-08-04,217,8,4,2000
"2000-08-05",297.66943359375,3.32320450618863,2000-08-05,218,8,5,2000
"2000-08-06",297.673767089844,5.60960060358047,2000-08-06,219,8,6,2000
"2000-08-07",297.907989501953,3.85655160993338,2000-08-07,220,8,7,2000
"2000-08-08",298.108276367188,1.15446739271283,2000-08-08,221,8,8,2000
"2000-08-09",298.011993408203,1.60343858599663,2000-08-09,222,8,9,2000
"2000-08-10",297.807495117188,2.23903741687536,2000-08-10,223,8,10,2000
"2000-08-11",297.963684082031,1.48725857958198,2000-08-11,224,8,11,2000
"2000-08-12",297.737152099609,0.849002699367702,2000-08-12,225,8,12,2000
"2000-08-13",297.107269287109,4.57855167146772,2000-08-13,226,8,13,2000
"2000-08-14",296.982666015625,3.12983810156584,2000-08-14,227,8,14,2000
"2000-08-15",296.84814453125,3.3077317327261,2000-08-15,228,8,15,2000
"2000-08-16",297.42578125,1.77730936557055,2000-08-16,229,8,16,2000
"2000-08-17",297.474456787109,1.86037680506706,2000-08-17,230,8,17,2000
"2000-08-18",296.603240966797,4.55564776062965,2000-08-18,231,8,18,2000
"2000-08-19",297.279815673828,4.3585594445467,2000-08-19,232,8,19,2000
"2000-08-20",297.170013427734,2.81950814649463,2000-08-20,233,8,20,2000
"2000-08-21",297.081726074219,1.99154077097774,2000-08-21,234,8,21,2000
"2000-08-22",297.323303222656,2.89934681355953,2000-08-22,235,8,22,2000
"2000-08-23",297.6025390625,1.97171489708126,2000-08-23,236,8,23,2000
