"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",294.868347167969,4.69365030527115,2000-01-01,1,1,1,2000
"2000-01-02",294.350494384766,5.85150989145041,2000-01-02,2,1,2,2000
"2000-01-03",294.296356201172,5.67233822494745,2000-01-03,3,1,3,2000
"2000-01-04",294.822235107422,2.88110669329762,2000-01-04,4,1,4,2000
"2000-01-05",295.516174316406,3.82001535594463,2000-01-05,5,1,5,2000
"2000-01-06",296.132904052734,4.45961402356625,2000-01-06,6,1,6,2000
"2000-01-07",295.676025390625,1.44652935955673,2000-01-07,7,1,7,2000
"2000-01-08",294.843109130859,1.39984619035022,2000-01-08,8,1,8,2000
"2000-01-09",295.307769775391,0.637103270739317,2000-01-09,9,1,9,2000
"2000-01-10",295.658966064453,1.20877914386801,2000-01-10,10,1,10,2000
"2000-01-11",296.256317138672,1.09667556254135,2000-01-11,11,1,11,2000
"2000-01-12",295.414611816406,2.93891009688377,2000-01-12,12,1,12,2000
"2000-01-13",296.479461669922,2.82757452595979,2000-01-13,13,1,13,2000
"2000-01-14",296.873748779297,2.44203003495932,2000-01-14,14,1,14,2000
"2000-01-15",296.910919189453,4.28724153339863,2000-01-15,15,1,15,2000
"2000-01-16",296.008270263672,4.18157562613487,2000-01-16,16,1,16,2000
"2000-01-17",297.219696044922,3.30386860668659,2000-01-17,17,1,17,2000
"2000-01-18",297.000610351562,0.926577786507551,2000-01-18,18,1,18,2000
"2000-01-19",295.591674804688,3.73604762554169,2000-01-19,19,1,19,2000
"2000-01-20",294.066925048828,4.48451864719391,2000-01-20,20,1,20,2000
"2000-01-21",293.608795166016,4.83252362906933,2000-01-21,21,1,21,2000
"2000-01-22",294.174896240234,3.92401241511106,2000-01-22,22,1,22,2000
"2000-01-23",293.839782714844,6.21668228507042,2000-01-23,23,1,23,2000
"2000-01-24",294.970367431641,4.98464011866599,2000-01-24,24,1,24,2000
"2000-01-25",296.502746582031,4.71143415942788,2000-01-25,25,1,25,2000
"2000-01-26",295.376983642578,4.49543115496635,2000-01-26,26,1,26,2000
"2000-01-27",291.773406982422,6.09574051201344,2000-01-27,27,1,27,2000
"2000-01-28",291.129577636719,3.21552226878703,2000-01-28,28,1,28,2000
"2000-01-29",291.301361083984,3.10208767559379,2000-01-29,29,1,29,2000
"2000-01-30",292.928466796875,3.90720669180155,2000-01-30,30,1,30,2000
"2000-01-31",295.085327148438,2.86360618844628,2000-01-31,31,1,31,2000
"2000-02-01",295.30810546875,3.02068536728621,2000-02-01,32,2,1,2000
"2000-02-02",296.218658447266,3.47194857895374,2000-02-02,33,2,2,2000
"2000-02-03",295.734039306641,1.927499756217,2000-02-03,34,2,3,2000
"2000-02-04",296.900726318359,1.14513153428561,2000-02-04,35,2,4,2000
"2000-02-05",297.018585205078,1.75739087164402,2000-02-05,36,2,5,2000
"2000-02-06",294.566253662109,4.81393397971988,2000-02-06,37,2,6,2000
"2000-02-07",292.898284912109,5.20455448329449,2000-02-07,38,2,7,2000
"2000-02-08",294.127532958984,2.92445868253708,2000-02-08,39,2,8,2000
"2000-02-09",294.216949462891,2.56473150849342,2000-02-09,40,2,9,2000
"2000-02-10",293.423858642578,2.45503206551075,2000-02-10,41,2,10,2000
"2000-02-11",293.686462402344,3.23952693492174,2000-02-11,42,2,11,2000
"2000-02-12",294.514739990234,4.58862689137459,2000-02-12,43,2,12,2000
"2000-02-13",295.620544433594,2.90872339904308,2000-02-13,44,2,13,2000
"2000-02-14",295.761444091797,1.4344033242669,2000-02-14,45,2,14,2000
"2000-02-15",296.282989501953,1.79446939984336,2000-02-15,46,2,15,2000
"2000-02-16",294.669097900391,5.71477118134499,2000-02-16,47,2,16,2000
"2000-02-17",292.370941162109,6.35188233852386,2000-02-17,48,2,17,2000
"2000-02-18",291.471923828125,5.35977489501238,2000-02-18,49,2,18,2000
"2000-02-19",291.925567626953,5.34361520409584,2000-02-19,50,2,19,2000
"2000-02-20",292.498931884766,3.81948545575142,2000-02-20,51,2,20,2000
"2000-02-21",293.812652587891,2.12734806351364,2000-02-21,52,2,21,2000
"2000-02-22",294.793029785156,1.22080043237656,2000-02-22,53,2,22,2000
"2000-02-23",294.952606201172,3.59943130984902,2000-02-23,54,2,23,2000
"2000-02-24",295.322418212891,4.25704222172499,2000-02-24,55,2,24,2000
"2000-02-25",295.236175537109,3.16151692438871,2000-02-25,56,2,25,2000
"2000-02-26",294.770263671875,3.36649252846837,2000-02-26,57,2,26,2000
"2000-02-27",295.436187744141,3.69804210215807,2000-02-27,58,2,27,2000
"2000-02-28",295.952239990234,1.83055801410228,2000-02-28,59,2,28,2000
"2000-02-29",295.74267578125,1.68066357960925,2000-02-29,60,2,29,2000
"2000-03-01",295.152374267578,1.70470584876603,2000-03-01,61,3,1,2000
"2000-03-02",294.323486328125,0.970422062091529,2000-03-02,62,3,2,2000
"2000-03-03",294.341461181641,1.20442803943297,2000-03-03,63,3,3,2000
"2000-03-04",295.222778320312,2.2051842417568,2000-03-04,64,3,4,2000
"2000-03-05",295.510833740234,0.624676243402064,2000-03-05,65,3,5,2000
"2000-03-06",295.926818847656,1.84973056428134,2000-03-06,66,3,6,2000
"2000-03-07",295.004119873047,4.51236165314913,2000-03-07,67,3,7,2000
"2000-03-08",292.289031982422,5.3801953047514,2000-03-08,68,3,8,2000
"2000-03-09",290.961547851562,3.15472323819995,2000-03-09,69,3,9,2000
"2000-03-10",291.123321533203,5.4817808829248,2000-03-10,70,3,10,2000
"2000-03-11",292.188812255859,3.01827669143677,2000-03-11,71,3,11,2000
"2000-03-12",292.206268310547,3.72121265158057,2000-03-12,72,3,12,2000
"2000-03-13",291.757476806641,3.54036124050617,2000-03-13,73,3,13,2000
"2000-03-14",291.548431396484,1.4971427321434,2000-03-14,74,3,14,2000
"2000-03-15",292.413970947266,3.76394512876868,2000-03-15,75,3,15,2000
"2000-03-16",293.6416015625,5.70401978492737,2000-03-16,76,3,16,2000
"2000-03-17",294.900054931641,4.64854367822409,2000-03-17,77,3,17,2000
"2000-03-18",295.4013671875,4.46542537212372,2000-03-18,78,3,18,2000
"2000-03-19",293.567077636719,5.16182025521994,2000-03-19,79,3,19,2000
"2000-03-20",292.580596923828,5.96630451083183,2000-03-20,80,3,20,2000
"2000-03-21",293.10888671875,4.99152371287346,2000-03-21,81,3,21,2000
"2000-03-22",293.333709716797,3.59516007825732,2000-03-22,82,3,22,2000
