"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",299.443542480469,4.47173045575619,2000-01-01,1,1,1,2000
"2000-01-02",297.817291259766,4.37800607830286,2000-01-02,2,1,2,2000
"2000-01-03",296.452941894531,3.7299472913146,2000-01-03,3,1,3,2000
"2000-01-04",295.644805908203,3.54027994722128,2000-01-04,4,1,4,2000
"2000-01-05",296.457580566406,2.23981896415353,2000-01-05,5,1,5,2000
"2000-01-06",296.211334228516,2.1167550496757,2000-01-06,6,1,6,2000
"2000-01-07",297.955322265625,1.65167046058923,2000-01-07,7,1,7,2000
"2000-01-08",297.867523193359,1.01962912874296,2000-01-08,8,1,8,2000
"2000-01-09",296.93310546875,2.22077525779605,2000-01-09,9,1,9,2000
"2000-01-10",297.887145996094,0.699619370978326,2000-01-10,10,1,10,2000
"2000-01-11",298.793121337891,1.36211092444137,2000-01-11,11,1,11,2000
"2000-01-12",298.201385498047,2.75645943917334,2000-01-12,12,1,12,2000
"2000-01-13",298.827423095703,2.06343595869839,2000-01-13,13,1,13,2000
"2000-01-14",300.780975341797,0.780398486182094,2000-01-14,14,1,14,2000
"2000-01-15",300.712036132812,1.10096934699686,2000-01-15,15,1,15,2000
"2000-01-16",300.668426513672,3.41871572285891,2000-01-16,16,1,16,2000
"2000-01-17",299.972320556641,3.22723465412855,2000-01-17,17,1,17,2000
"2000-01-18",298.712860107422,3.01897591724992,2000-01-18,18,1,18,2000
"2000-01-19",298.422393798828,1.84978997148573,2000-01-19,19,1,19,2000
"2000-01-20",299.119659423828,2.50581243634224,2000-01-20,20,1,20,2000
"2000-01-21",298.325592041016,1.80889911390841,2000-01-21,21,1,21,2000
"2000-01-22",298.048919677734,0.14100106729893,2000-01-22,22,1,22,2000
"2000-01-23",298.327728271484,0.722906177863479,2000-01-23,23,1,23,2000
"2000-01-24",298.201812744141,0.300236324077105,2000-01-24,24,1,24,2000
"2000-01-25",299.710418701172,1.66201268136501,2000-01-25,25,1,25,2000
"2000-01-26",299.015960693359,4.12144063413143,2000-01-26,26,1,26,2000
"2000-01-27",297.581695556641,6.94823402166367,2000-01-27,27,1,27,2000
"2000-01-28",295.322601318359,2.51293089427054,2000-01-28,28,1,28,2000
"2000-01-29",295.629150390625,0.549209760152735,2000-01-29,29,1,29,2000
"2000-01-30",296.402435302734,1.64801837036794,2000-01-30,30,1,30,2000
"2000-01-31",298.777069091797,3.89880416356027,2000-01-31,31,1,31,2000
"2000-02-01",297.317535400391,2.84067387878895,2000-02-01,32,2,1,2000
"2000-02-02",299.005462646484,3.60164554417133,2000-02-02,33,2,2,2000
