"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",294.871917724609,6.14251150935888,2000-01-01,1,1,1,2000
"2000-01-02",293.628173828125,4.96771429479122,2000-01-02,2,1,2,2000
"2000-01-03",291.678527832031,4.12278899550438,2000-01-03,3,1,3,2000
"2000-01-04",293.038696289062,3.83991079777479,2000-01-04,4,1,4,2000
"2000-01-05",294.116760253906,2.44677359983325,2000-01-05,5,1,5,2000
"2000-01-06",294.790771484375,3.6932924836874,2000-01-06,6,1,6,2000
"2000-01-07",294.833587646484,2.47311013564467,2000-01-07,7,1,7,2000
"2000-01-08",295.3134765625,1.84507861360908,2000-01-08,8,1,8,2000
"2000-01-09",296.12646484375,3.20113117620349,2000-01-09,9,1,9,2000
"2000-01-10",297.020599365234,2.77393876481801,2000-01-10,10,1,10,2000
"2000-01-11",295.718902587891,3.89996095001698,2000-01-11,11,1,11,2000
"2000-01-12",296.511932373047,3.10984712466598,2000-01-12,12,1,12,2000
"2000-01-13",296.252899169922,4.33215442299843,2000-01-13,13,1,13,2000
"2000-01-14",296.913116455078,2.46694318205118,2000-01-14,14,1,14,2000
"2000-01-15",296.136199951172,3.48641550168395,2000-01-15,15,1,15,2000
"2000-01-16",296.343536376953,3.72747651860118,2000-01-16,16,1,16,2000
"2000-01-17",297.489562988281,3.76050182431936,2000-01-17,17,1,17,2000
"2000-01-18",297.141571044922,1.47317761182785,2000-01-18,18,1,18,2000
"2000-01-19",295.442596435547,4.30692921578884,2000-01-19,19,1,19,2000
"2000-01-20",293.999847412109,3.12172571383417,2000-01-20,20,1,20,2000
"2000-01-21",293.434661865234,0.821613512001932,2000-01-21,21,1,21,2000
"2000-01-22",295.088653564453,0.857441856525838,2000-01-22,22,1,22,2000
"2000-01-23",294.136322021484,0.299959182098974,2000-01-23,23,1,23,2000
"2000-01-24",294.943664550781,1.75977738387883,2000-01-24,24,1,24,2000
"2000-01-25",296.286285400391,3.22700836881995,2000-01-25,25,1,25,2000
"2000-01-26",295.003265380859,6.65736935287714,2000-01-26,26,1,26,2000
"2000-01-27",292.031890869141,4.68725769966841,2000-01-27,27,1,27,2000
"2000-01-28",290.974945068359,1.03167950734496,2000-01-28,28,1,28,2000
"2000-01-29",290.250244140625,1.00171568103542,2000-01-29,29,1,29,2000
"2000-01-30",292.806396484375,0.924951752647758,2000-01-30,30,1,30,2000
"2000-01-31",295.112670898438,1.07104899268597,2000-01-31,31,1,31,2000
"2000-02-01",296.20068359375,3.73045279830694,2000-02-01,32,2,1,2000
"2000-02-02",296.135345458984,3.26250899583101,2000-02-02,33,2,2,2000
"2000-02-03",295.828460693359,0.938703532330692,2000-02-03,34,2,3,2000
"2000-02-04",296.001953125,1.35482552065514,2000-02-04,35,2,4,2000
"2000-02-05",296.120483398438,6.80854569375515,2000-02-05,36,2,5,2000
"2000-02-06",293.841979980469,1.87146713631228,2000-02-06,37,2,6,2000
"2000-02-07",293.30908203125,3.47955307364464,2000-02-07,38,2,7,2000
"2000-02-08",293.854095458984,6.18273095786572,2000-02-08,39,2,8,2000
"2000-02-09",295.422332763672,5.079754345119,2000-02-09,40,2,9,2000
"2000-02-10",294.979217529297,3.86878980323672,2000-02-10,41,2,10,2000
"2000-02-11",294.282501220703,3.21042614802718,2000-02-11,42,2,11,2000
"2000-02-12",295.312896728516,3.40881402418017,2000-02-12,43,2,12,2000
"2000-02-13",294.351654052734,2.92487423866987,2000-02-13,44,2,13,2000
"2000-02-14",295.683959960938,2.83326221257448,2000-02-14,45,2,14,2000
"2000-02-15",295.186309814453,2.61577580496669,2000-02-15,46,2,15,2000
"2000-02-16",293.759246826172,5.63593670725822,2000-02-16,47,2,16,2000
"2000-02-17",291.873870849609,6.23082560300827,2000-02-17,48,2,17,2000
"2000-02-18",290.974853515625,3.38658902049065,2000-02-18,49,2,18,2000
"2000-02-19",291.713348388672,2.95655018091202,2000-02-19,50,2,19,2000
"2000-02-20",292.889251708984,3.08310884609818,2000-02-20,51,2,20,2000
"2000-02-21",293.991058349609,2.0118439081125,2000-02-21,52,2,21,2000
"2000-02-22",295.176177978516,2.33384549664333,2000-02-22,53,2,22,2000
"2000-02-23",295.704223632812,5.31000836193562,2000-02-23,54,2,23,2000
"2000-02-24",295.643371582031,2.80424132943153,2000-02-24,55,2,24,2000
"2000-02-25",295.192230224609,1.81467615719885,2000-02-25,56,2,25,2000
"2000-02-26",294.964599609375,1.17022819710837,2000-02-26,57,2,26,2000
"2000-02-27",295.8203125,3.04552983911708,2000-02-27,58,2,27,2000
"2000-02-28",296.733489990234,1.87146189762279,2000-02-28,59,2,28,2000
"2000-02-29",296.06787109375,2.57940775249153,2000-02-29,60,2,29,2000
"2000-03-01",295.735076904297,1.89110283181071,2000-03-01,61,3,1,2000
"2000-03-02",295.391204833984,4.12938510626554,2000-03-02,62,3,2,2000
"2000-03-03",295.607086181641,2.17156217759475,2000-03-03,63,3,3,2000
"2000-03-04",295.722778320312,3.70253456616774,2000-03-04,64,3,4,2000
"2000-03-05",296.889739990234,4.0923479385674,2000-03-05,65,3,5,2000
"2000-03-06",296.521881103516,3.27401077002287,2000-03-06,66,3,6,2000
"2000-03-07",294.841705322266,4.5700800716877,2000-03-07,67,3,7,2000
"2000-03-08",291.600250244141,2.59583196230233,2000-03-08,68,3,8,2000
"2000-03-09",290.409454345703,0.761627301573753,2000-03-09,69,3,9,2000
"2000-03-10",291.728149414062,2.23588205873966,2000-03-10,70,3,10,2000
"2000-03-11",292.1982421875,4.28877278417349,2000-03-11,71,3,11,2000
