"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",293.680206298828,1.60897876357194,2000-01-01,1,1,1,2000
"2000-01-02",293.278900146484,4.36433622834738,2000-01-02,2,1,2,2000
"2000-01-03",293.020660400391,2.54522890329827,2000-01-03,3,1,3,2000
"2000-01-04",294.285766601562,1.82253664021846,2000-01-04,4,1,4,2000
"2000-01-05",294.933502197266,1.60108056513127,2000-01-05,5,1,5,2000
"2000-01-06",294.530029296875,0.994254725985229,2000-01-06,6,1,6,2000
"2000-01-07",292.802642822266,1.6931593347108,2000-01-07,7,1,7,2000
"2000-01-08",292.989593505859,2.17790934292134,2000-01-08,8,1,8,2000
"2000-01-09",292.612457275391,1.61899806221481,2000-01-09,9,1,9,2000
"2000-01-10",293.475036621094,1.87546378781553,2000-01-10,10,1,10,2000
"2000-01-11",293.270965576172,2.48194289533421,2000-01-11,11,1,11,2000
"2000-01-12",293.495666503906,2.53027426858898,2000-01-12,12,1,12,2000
"2000-01-13",294.795532226562,1.4344467985502,2000-01-13,13,1,13,2000
"2000-01-14",296.149139404297,2.07392776280176,2000-01-14,14,1,14,2000
"2000-01-15",296.625122070312,1.98289680143353,2000-01-15,15,1,15,2000
"2000-01-16",295.776489257812,1.82299754850101,2000-01-16,16,1,16,2000
"2000-01-17",294.515289306641,2.47336223348975,2000-01-17,17,1,17,2000
"2000-01-18",296.273406982422,2.16883337404579,2000-01-18,18,1,18,2000
"2000-01-19",296.146362304688,3.4141727425158,2000-01-19,19,1,19,2000
"2000-01-20",295.583526611328,4.44070406258106,2000-01-20,20,1,20,2000
"2000-01-21",294.710693359375,3.20017201453447,2000-01-21,21,1,21,2000
"2000-01-22",294.690216064453,3.05781289935112,2000-01-22,22,1,22,2000
"2000-01-23",295.241149902344,3.51650208234787,2000-01-23,23,1,23,2000
"2000-01-24",295.767883300781,3.17251631431282,2000-01-24,24,1,24,2000
"2000-01-25",295.567840576172,6.50975368916988,2000-01-25,25,1,25,2000
"2000-01-26",294.284851074219,4.28763508982956,2000-01-26,26,1,26,2000
"2000-01-27",294.983367919922,5.20034426450729,2000-01-27,27,1,27,2000
"2000-01-28",292.391937255859,5.42755828797817,2000-01-28,28,1,28,2000
"2000-01-29",292.235595703125,4.93883753940463,2000-01-29,29,1,29,2000
"2000-01-30",294.780029296875,6.51716881431639,2000-01-30,30,1,30,2000
"2000-01-31",294.377655029297,4.13747699558735,2000-01-31,31,1,31,2000
"2000-02-01",294.160339355469,3.93163486756384,2000-02-01,32,2,1,2000
"2000-02-02",294.963470458984,4.05633841082454,2000-02-02,33,2,2,2000
"2000-02-03",295.345367431641,2.37555023655295,2000-02-03,34,2,3,2000
"2000-02-04",295.563140869141,3.12767108157277,2000-02-04,35,2,4,2000
"2000-02-05",295.786163330078,2.43319310992956,2000-02-05,36,2,5,2000
"2000-02-06",295.870300292969,3.88579792529345,2000-02-06,37,2,6,2000
"2000-02-07",294.81982421875,5.86587622761726,2000-02-07,38,2,7,2000
"2000-02-08",293.843353271484,4.72019696235657,2000-02-08,39,2,8,2000
"2000-02-09",293.655426025391,3.92511916905642,2000-02-09,40,2,9,2000
"2000-02-10",294.072967529297,3.87021139636636,2000-02-10,41,2,10,2000
"2000-02-11",294.292907714844,3.85006517916918,2000-02-11,42,2,11,2000
"2000-02-12",293.514068603516,6.31042829155922,2000-02-12,43,2,12,2000
"2000-02-13",293.884521484375,1.10907313163625,2000-02-13,44,2,13,2000
"2000-02-14",294.426483154297,1.93737456016243,2000-02-14,45,2,14,2000
"2000-02-15",293.942779541016,0.408273448236287,2000-02-15,46,2,15,2000
"2000-02-16",294.372528076172,1.06053638059529,2000-02-16,47,2,16,2000
"2000-02-17",293.42431640625,5.76805004477501,2000-02-17,48,2,17,2000
"2000-02-18",293.751861572266,8.16038152575493,2000-02-18,49,2,18,2000
"2000-02-19",292.802520751953,5.50981985032558,2000-02-19,50,2,19,2000
"2000-02-20",293.498291015625,4.21416139602661,2000-02-20,51,2,20,2000
"2000-02-21",293.165863037109,3.20650575496256,2000-02-21,52,2,21,2000
"2000-02-22",293.396545410156,2.64314998593181,2000-02-22,53,2,22,2000
"2000-02-23",293.636871337891,0.988076688525325,2000-02-23,54,2,23,2000
"2000-02-24",294.371246337891,4.09587960853241,2000-02-24,55,2,24,2000
"2000-02-25",294.885589599609,1.91048716602381,2000-02-25,56,2,25,2000
"2000-02-26",294.464263916016,2.97253174521029,2000-02-26,57,2,26,2000
"2000-02-27",294.239898681641,2.69581323862076,2000-02-27,58,2,27,2000
"2000-02-28",294.543395996094,3.81819174438715,2000-02-28,59,2,28,2000
"2000-02-29",294.04052734375,2.93055011704564,2000-02-29,60,2,29,2000
"2000-03-01",293.631225585938,2.63539738953114,2000-03-01,61,3,1,2000
"2000-03-02",293.296783447266,3.10265019908547,2000-03-02,62,3,2,2000
"2000-03-03",293.726226806641,3.1636727489531,2000-03-03,63,3,3,2000
"2000-03-04",293.858825683594,4.28551578521729,2000-03-04,64,3,4,2000
"2000-03-05",293.223724365234,2.16553920111619,2000-03-05,65,3,5,2000
"2000-03-06",293.588256835938,0.622058612756518,2000-03-06,66,3,6,2000
"2000-03-07",294.183502197266,0.454275580239482,2000-03-07,67,3,7,2000
"2000-03-08",293.579742431641,4.6625349521637,2000-03-08,68,3,8,2000
"2000-03-09",292.610321044922,4.37069705873728,2000-03-09,69,3,9,2000
"2000-03-10",291.870391845703,5.72597053647041,2000-03-10,70,3,10,2000
"2000-03-11",292.734710693359,7.72667470574379,2000-03-11,71,3,11,2000
"2000-03-12",293.605987548828,4.98172329366207,2000-03-12,72,3,12,2000
"2000-03-13",293.448547363281,4.09795575216413,2000-03-13,73,3,13,2000
"2000-03-14",292.868743896484,2.79505453258753,2000-03-14,74,3,14,2000
"2000-03-15",293.310455322266,3.81583158671856,2000-03-15,75,3,15,2000
"2000-03-16",293.886383056641,3.91022462025285,2000-03-16,76,3,16,2000
"2000-03-17",294.195953369141,5.96270675957203,2000-03-17,77,3,17,2000
"2000-03-18",293.944976806641,5.62629370391369,2000-03-18,78,3,18,2000
"2000-03-19",294.146514892578,5.65664619207382,2000-03-19,79,3,19,2000
"2000-03-20",293.684448242188,7.88607342541218,2000-03-20,80,3,20,2000
"2000-03-21",293.758636474609,3.89497665315866,2000-03-21,81,3,21,2000
"2000-03-22",294.062561035156,4.05860662832856,2000-03-22,82,3,22,2000
"2000-03-23",293.915924072266,2.99240199103951,2000-03-23,83,3,23,2000
"2000-03-24",294.391143798828,4.21916882134974,2000-03-24,84,3,24,2000
"2000-03-25",294.497192382812,2.67495298408903,2000-03-25,85,3,25,2000
"2000-03-26",293.783782958984,1.72795827034861,2000-03-26,86,3,26,2000
"2000-03-27",293.670867919922,1.7530119153671,2000-03-27,87,3,27,2000
"2000-03-28",294.059967041016,2.20970659516752,2000-03-28,88,3,28,2000
"2000-03-29",293.303741455078,4.99399480223656,2000-03-29,89,3,29,2000
"2000-03-30",292.667388916016,3.73093812167645,2000-03-30,90,3,30,2000
"2000-03-31",292.848815917969,3.39308891445398,2000-03-31,91,3,31,2000
"2000-04-01",293.334259033203,2.61501174420118,2000-04-01,92,4,1,2000
"2000-04-02",292.675201416016,2.58475242741406,2000-04-02,93,4,2,2000
"2000-04-03",291.906188964844,3.29855933785439,2000-04-03,94,4,3,2000
"2000-04-04",289.938598632812,1.12848807312548,2000-04-04,95,4,4,2000
"2000-04-05",291.062438964844,2.83980694413185,2000-04-05,96,4,5,2000
"2000-04-06",292.399688720703,4.71399857103825,2000-04-06,97,4,6,2000
"2000-04-07",292.056854248047,2.70927432179451,2000-04-07,98,4,7,2000
"2000-04-08",292.303466796875,2.64811867848039,2000-04-08,99,4,8,2000
"2000-04-09",292.696014404297,2.06148296967149,2000-04-09,100,4,9,2000
"2000-04-10",293.148651123047,4.97103235125542,2000-04-10,101,4,10,2000
"2000-04-11",293.407623291016,3.92047538608313,2000-04-11,102,4,11,2000
"2000-04-12",293.491577148438,2.07109961519018,2000-04-12,103,4,12,2000
"2000-04-13",293.267974853516,1.24928690143861,2000-04-13,104,4,13,2000
"2000-04-14",294.258575439453,2.57366121467203,2000-04-14,105,4,14,2000
"2000-04-15",293.767364501953,3.07842223718762,2000-04-15,106,4,15,2000
"2000-04-16",292.991455078125,1.44360974407755,2000-04-16,107,4,16,2000
"2000-04-17",292.375885009766,3.30241495370865,2000-04-17,108,4,17,2000
"2000-04-18",292.678466796875,2.76612903922796,2000-04-18,109,4,18,2000
"2000-04-19",293.660308837891,2.40424354560673,2000-04-19,110,4,19,2000
"2000-04-20",293.919250488281,2.30515015684068,2000-04-20,111,4,20,2000
"2000-04-21",291.895660400391,0.651603287378309,2000-04-21,112,4,21,2000
"2000-04-22",288.873992919922,0.0549527443670783,2000-04-22,113,4,22,2000
"2000-04-23",289.806457519531,0.403236260579433,2000-04-23,114,4,23,2000
"2000-04-24",290.292388916016,0.262450393081053,2000-04-24,115,4,24,2000
"2000-04-25",289.5732421875,0.244029773246439,2000-04-25,116,4,25,2000
"2000-04-26",288.477996826172,0.0956806477151986,2000-04-26,117,4,26,2000
"2000-04-27",288.632415771484,0.301107297005728,2000-04-27,118,4,27,2000
"2000-04-28",289.583374023438,1.31231960793957,2000-04-28,119,4,28,2000
"2000-04-29",290.623718261719,0.662830626126379,2000-04-29,120,4,29,2000
"2000-04-30",291.830627441406,2.14636980928481,2000-04-30,121,4,30,2000
"2000-05-01",292.139099121094,2.65507786720991,2000-05-01,122,5,1,2000
"2000-05-02",292.163970947266,0.826321366708726,2000-05-02,123,5,2,2000
"2000-05-03",292.310821533203,1.7577429227531,2000-05-03,124,5,3,2000
"2000-05-04",291.274139404297,1.59211663273163,2000-05-04,125,5,4,2000
"2000-05-05",291.109832763672,1.50496507808566,2000-05-05,126,5,5,2000
"2000-05-06",291.300811767578,0.727058473043144,2000-05-06,127,5,6,2000
"2000-05-07",292.368743896484,1.4575716345571,2000-05-07,128,5,7,2000
"2000-05-08",291.911041259766,3.78060163557529,2000-05-08,129,5,8,2000
"2000-05-09",292.895568847656,2.28605945687741,2000-05-09,130,5,9,2000
"2000-05-10",290.797943115234,0.880471653428685,2000-05-10,131,5,10,2000
"2000-05-11",288.300476074219,0.477594221509207,2000-05-11,132,5,11,2000
"2000-05-12",288.004180908203,1.86043098941445,2000-05-12,133,5,12,2000
"2000-05-13",288.266082763672,0.878465307876468,2000-05-13,134,5,13,2000
"2000-05-14",289.214782714844,1.16521395556629,2000-05-14,135,5,14,2000
"2000-05-15",289.153045654297,0.191968685758184,2000-05-15,136,5,15,2000
"2000-05-16",289.967559814453,0.00990535192386233,2000-05-16,137,5,16,2000
"2000-05-17",290.340667724609,0.0108678231672457,2000-05-17,138,5,17,2000
"2000-05-18",290.089965820312,0.163425360849487,2000-05-18,139,5,18,2000
"2000-05-19",287.740570068359,1.99080551488429e-07,2000-05-19,140,5,19,2000
"2000-05-20",288.862976074219,0.629644250279853,2000-05-20,141,5,20,2000
"2000-05-21",288.05908203125,1.93140141572803,2000-05-21,142,5,21,2000
"2000-05-22",288.351379394531,2.35949350893497,2000-05-22,143,5,22,2000
"2000-05-23",288.539123535156,0.87793650693493,2000-05-23,144,5,23,2000
"2000-05-24",286.863250732422,0.0867906189669156,2000-05-24,145,5,24,2000
"2000-05-25",286.948822021484,0.117807273332289,2000-05-25,146,5,25,2000
"2000-05-26",289.121826171875,0.235663189813181,2000-05-26,147,5,26,2000
"2000-05-27",290.138580322266,0.0172852913383394,2000-05-27,148,5,27,2000
"2000-05-28",291.190826416016,1.1147909113206,2000-05-28,149,5,28,2000
"2000-05-29",289.982604980469,0.549618100281805,2000-05-29,150,5,29,2000
"2000-05-30",290.822998046875,0.795378656126559,2000-05-30,151,5,30,2000
"2000-05-31",290.684692382812,0.0398113253456245,2000-05-31,152,5,31,2000
"2000-06-01",291.199249267578,1.2221319549717,2000-06-01,153,6,1,2000
"2000-06-02",291.173889160156,2.85561932995915,2000-06-02,154,6,2,2000
"2000-06-03",289.928985595703,1.9322063960135,2000-06-03,155,6,3,2000
"2000-06-04",289.369445800781,1.42343306448311,2000-06-04,156,6,4,2000
"2000-06-05",287.664672851562,0.717356625013053,2000-06-05,157,6,5,2000
"2000-06-06",288.527618408203,1.20794508373365,2000-06-06,158,6,6,2000
"2000-06-07",289.145629882812,0.866099398583174,2000-06-07,159,6,7,2000
"2000-06-08",289.853851318359,1.17084027547389,2000-06-08,160,6,8,2000
"2000-06-09",289.921051025391,0.206008560890041,2000-06-09,161,6,9,2000
