"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",301.282745361328,3.00145266205072,2000-01-01,1,1,1,2000
"2000-01-02",302.979400634766,0.223865125355587,2000-01-02,2,1,2,2000
"2000-01-03",302.666168212891,0.852881351485848,2000-01-03,3,1,3,2000
"2000-01-04",304.230102539062,0.0741219766241645,2000-01-04,4,1,4,2000
"2000-01-05",303.829010009766,0.566620850353502,2000-01-05,5,1,5,2000
"2000-01-06",302.641357421875,0.753883493773174,2000-01-06,6,1,6,2000
"2000-01-07",302.540283203125,1.20887282234617,2000-01-07,7,1,7,2000
"2000-01-08",302.9404296875,1.527413723059,2000-01-08,8,1,8,2000
"2000-01-09",302.099761962891,1.30674641765654,2000-01-09,9,1,9,2000
"2000-01-10",301.368927001953,0.820861884392798,2000-01-10,10,1,10,2000
"2000-01-11",301.687652587891,1.128756897524,2000-01-11,11,1,11,2000
"2000-01-12",302.712463378906,1.18030220962828,2000-01-12,12,1,12,2000
"2000-01-13",301.313446044922,2.41169667057693,2000-01-13,13,1,13,2000
"2000-01-14",300.896209716797,3.30547351390123,2000-01-14,14,1,14,2000
"2000-01-15",301.501739501953,1.25464562565321,2000-01-15,15,1,15,2000
"2000-01-16",301.573028564453,0.99891820747871,2000-01-16,16,1,16,2000
"2000-01-17",301.910125732422,0.469482119311579,2000-01-17,17,1,17,2000
"2000-01-18",302.162384033203,1.83073133987637,2000-01-18,18,1,18,2000
"2000-01-19",301.581573486328,1.75922753661871,2000-01-19,19,1,19,2000
"2000-01-20",302.397308349609,0.79888819810003,2000-01-20,20,1,20,2000
"2000-01-21",302.975341796875,0.301023275125772,2000-01-21,21,1,21,2000
"2000-01-22",303.748809814453,0.484910433959158,2000-01-22,22,1,22,2000
"2000-01-23",302.538024902344,1.66492352262139,2000-01-23,23,1,23,2000
"2000-01-24",302.580383300781,0.861071221530437,2000-01-24,24,1,24,2000
"2000-01-25",301.839996337891,1.97177476342767,2000-01-25,25,1,25,2000
"2000-01-26",300.668304443359,1.36513491533697,2000-01-26,26,1,26,2000
"2000-01-27",300.038055419922,3.11522339656949,2000-01-27,27,1,27,2000
