"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",297.226745605469,4.58044503629208,2000-01-01,1,1,1,2000
"2000-01-02",296.336181640625,4.58951912075281,2000-01-02,2,1,2,2000
"2000-01-03",295.374481201172,5.22048789262772,2000-01-03,3,1,3,2000
"2000-01-04",296.304656982422,4.04298534244299,2000-01-04,4,1,4,2000
"2000-01-05",298.286041259766,2.55842933431268,2000-01-05,5,1,5,2000
"2000-01-06",298.365631103516,2.88257578015327,2000-01-06,6,1,6,2000
"2000-01-07",297.889556884766,2.01339711248875,2000-01-07,7,1,7,2000
"2000-01-08",297.8740234375,0.697092370828614,2000-01-08,8,1,8,2000
"2000-01-09",298.40771484375,1.64514063484967,2000-01-09,9,1,9,2000
"2000-01-10",299.805114746094,0.915409600595012,2000-01-10,10,1,10,2000
"2000-01-11",300.486145019531,2.72851789742708,2000-01-11,11,1,11,2000
"2000-01-12",300.123596191406,2.00249528884888,2000-01-12,12,1,12,2000
"2000-01-13",300.530242919922,3.50663405656815,2000-01-13,13,1,13,2000
"2000-01-14",300.967163085938,1.75120325572789,2000-01-14,14,1,14,2000
"2000-01-15",300.795379638672,2.75305680185556,2000-01-15,15,1,15,2000
"2000-01-16",300.105255126953,2.39136439561844,2000-01-16,16,1,16,2000
"2000-01-17",301.194000244141,1.4983217427507,2000-01-17,17,1,17,2000
"2000-01-18",300.283477783203,1.18923938646913,2000-01-18,18,1,18,2000
"2000-01-19",298.438018798828,4.3719632551074,2000-01-19,19,1,19,2000
"2000-01-20",296.975433349609,1.40188785642385,2000-01-20,20,1,20,2000
"2000-01-21",297.013092041016,1.70312381535769,2000-01-21,21,1,21,2000
"2000-01-22",298.135528564453,1.06674668565392,2000-01-22,22,1,22,2000
"2000-01-23",298.047790527344,0.125255860097241,2000-01-23,23,1,23,2000
"2000-01-24",297.742156982422,2.65109742991626,2000-01-24,24,1,24,2000
"2000-01-25",298.052215576172,3.08196162432432,2000-01-25,25,1,25,2000
"2000-01-26",297.648468017578,5.99253876134753,2000-01-26,26,1,26,2000
"2000-01-27",296.257781982422,4.35358805954456,2000-01-27,27,1,27,2000
"2000-01-28",295.727233886719,1.18811297509819,2000-01-28,28,1,28,2000
"2000-01-29",295.774017333984,0.609984959912254,2000-01-29,29,1,29,2000
"2000-01-30",296.278411865234,1.74380863760598,2000-01-30,30,1,30,2000
"2000-01-31",297.623077392578,1.55811236985028,2000-01-31,31,1,31,2000
"2000-02-01",299.301605224609,1.38223656639457,2000-02-01,32,2,1,2000
"2000-02-02",297.462799072266,3.35502836853266,2000-02-02,33,2,2,2000
"2000-02-03",298.063140869141,0.746943994425237,2000-02-03,34,2,3,2000
"2000-02-04",299.777679443359,0.896784107666463,2000-02-04,35,2,4,2000
"2000-02-05",297.677764892578,4.84381399303675,2000-02-05,36,2,5,2000
"2000-02-06",297.176605224609,1.6312178792432,2000-02-06,37,2,6,2000
"2000-02-07",296.966644287109,3.71853301674128,2000-02-07,38,2,7,2000
"2000-02-08",297.465087890625,5.002437107265,2000-02-08,39,2,8,2000
