"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",298.414245605469,2.29637827165425,2000-01-01,1,1,1,2000
"2000-01-02",298.394134521484,1.72568882629275,2000-01-02,2,1,2,2000
"2000-01-03",298.372528076172,0.940758743556216,2000-01-03,3,1,3,2000
"2000-01-04",298.639282226562,0.944061058224179,2000-01-04,4,1,4,2000
"2000-01-05",298.527252197266,2.80799844861031,2000-01-05,5,1,5,2000
"2000-01-06",297.553802490234,4.63037595897913,2000-01-06,6,1,6,2000
"2000-01-07",297.977447509766,3.24853345751762,2000-01-07,7,1,7,2000
"2000-01-08",297.817718505859,3.49725003913045,2000-01-08,8,1,8,2000
"2000-01-09",296.757965087891,4.87957450002432,2000-01-09,9,1,9,2000
"2000-01-10",297.196075439453,4.26411259546876,2000-01-10,10,1,10,2000
"2000-01-11",297.559051513672,4.58078644424677,2000-01-11,11,1,11,2000
"2000-01-12",298.050994873047,2.86621483042836,2000-01-12,12,1,12,2000
"2000-01-13",298.042266845703,2.80838937684894,2000-01-13,13,1,13,2000
"2000-01-14",297.736053466797,2.78798384033144,2000-01-14,14,1,14,2000
"2000-01-15",297.341278076172,4.77585528045893,2000-01-15,15,1,15,2000
"2000-01-16",297.236114501953,3.51751169934869,2000-01-16,16,1,16,2000
"2000-01-17",298.280914306641,3.98010738566518,2000-01-17,17,1,17,2000
"2000-01-18",298.389617919922,4.730503462255,2000-01-18,18,1,18,2000
"2000-01-19",298.174346923828,2.8209875235334,2000-01-19,19,1,19,2000
"2000-01-20",298.710479736328,0.602234538178891,2000-01-20,20,1,20,2000
"2000-01-21",299.020263671875,1.88457442447543,2000-01-21,21,1,21,2000
"2000-01-22",298.858825683594,1.78897305112332,2000-01-22,22,1,22,2000
"2000-01-23",298.572204589844,5.21936832368374,2000-01-23,23,1,23,2000
"2000-01-24",298.085266113281,3.51819570362568,2000-01-24,24,1,24,2000
"2000-01-25",298.341278076172,0.984315214678645,2000-01-25,25,1,25,2000
"2000-01-26",298.000335693359,4.75829514861107,2000-01-26,26,1,26,2000
"2000-01-27",297.817687988281,4.92674040049314,2000-01-27,27,1,27,2000
"2000-01-28",297.604522705078,5.61385250091553,2000-01-28,28,1,28,2000
"2000-01-29",297.946868896484,4.49140150845051,2000-01-29,29,1,29,2000
"2000-01-30",297.981536865234,2.43453826196492,2000-01-30,30,1,30,2000
"2000-01-31",298.169647216797,2.94063223898411,2000-01-31,31,1,31,2000
"2000-02-01",299.155426025391,3.1802382953465,2000-02-01,32,2,1,2000
"2000-02-02",299.423095703125,2.87815901264548,2000-02-02,33,2,2,2000
"2000-02-03",299.071929931641,1.76845836266875,2000-02-03,34,2,3,2000
"2000-02-04",298.4833984375,1.47383993957192,2000-02-04,35,2,4,2000
"2000-02-05",298.810913085938,2.32810426130891,2000-02-05,36,2,5,2000
"2000-02-06",298.071807861328,4.71001808345318,2000-02-06,37,2,6,2000
"2000-02-07",298.122894287109,3.22192260995507,2000-02-07,38,2,7,2000
"2000-02-08",298.690673828125,2.70714891701937,2000-02-08,39,2,8,2000
"2000-02-09",297.780090332031,3.61405890807509,2000-02-09,40,2,9,2000
"2000-02-10",297.901092529297,3.05827778764069,2000-02-10,41,2,10,2000
"2000-02-11",298.255462646484,1.87651250883937,2000-02-11,42,2,11,2000
"2000-02-12",298.459075927734,2.83615753427148,2000-02-12,43,2,12,2000
"2000-02-13",298.614349365234,2.15219108574092,2000-02-13,44,2,13,2000
"2000-02-14",298.903350830078,3.91270318627357,2000-02-14,45,2,14,2000
"2000-02-15",298.213958740234,7.43767848610878,2000-02-15,46,2,15,2000
"2000-02-16",296.267395019531,4.02459073811769,2000-02-16,47,2,16,2000
"2000-02-17",296.587066650391,3.08072433620691,2000-02-17,48,2,17,2000
"2000-02-18",296.912689208984,3.66800277680159,2000-02-18,49,2,18,2000
"2000-02-19",296.908660888672,4.2207167968154,2000-02-19,50,2,19,2000
"2000-02-20",297.343017578125,4.19621025770903,2000-02-20,51,2,20,2000
"2000-02-21",297.582855224609,2.67858500778675,2000-02-21,52,2,21,2000
"2000-02-22",296.999420166016,2.74070164188743,2000-02-22,53,2,22,2000
"2000-02-23",297.501739501953,0.823364169569686,2000-02-23,54,2,23,2000
"2000-02-24",298.672027587891,2.87166640534997,2000-02-24,55,2,24,2000
"2000-02-25",298.033721923828,4.6242728382349,2000-02-25,56,2,25,2000
"2000-02-26",297.808013916016,5.10485288500786,2000-02-26,57,2,26,2000
"2000-02-27",297.5166015625,2.66494480520487,2000-02-27,58,2,27,2000
"2000-02-28",298.515716552734,1.01307357975747,2000-02-28,59,2,28,2000
"2000-02-29",298.359222412109,2.81305264681578,2000-02-29,60,2,29,2000
"2000-03-01",298.178436279297,3.34319521859288,2000-03-01,61,3,1,2000
"2000-03-02",297.232025146484,4.84633736312389,2000-03-02,62,3,2,2000
"2000-03-03",297.378875732422,4.75495864450932,2000-03-03,63,3,3,2000
"2000-03-04",297.716583251953,2.22958773002028,2000-03-04,64,3,4,2000
"2000-03-05",297.641357421875,5.40693339705467,2000-03-05,65,3,5,2000
"2000-03-06",297.613006591797,5.14282935857773,2000-03-06,66,3,6,2000
"2000-03-07",298.186431884766,4.5925048366189,2000-03-07,67,3,7,2000
"2000-03-08",298.328765869141,3.94491560012102,2000-03-08,68,3,8,2000
"2000-03-09",297.268188476562,4.18230134248734,2000-03-09,69,3,9,2000
"2000-03-10",297.442016601562,2.34814315289259,2000-03-10,70,3,10,2000
"2000-03-11",297.649749755859,2.99746034387499,2000-03-11,71,3,11,2000
"2000-03-12",297.685424804688,2.43939489498734,2000-03-12,72,3,12,2000
"2000-03-13",297.965850830078,1.91375082172453,2000-03-13,73,3,13,2000
"2000-03-14",297.867767333984,1.83619974181056,2000-03-14,74,3,14,2000
"2000-03-15",297.214752197266,3.01471907645464,2000-03-15,75,3,15,2000
"2000-03-16",297.606750488281,3.05947084724903,2000-03-16,76,3,16,2000
"2000-03-17",297.425750732422,3.9314828068018,2000-03-17,77,3,17,2000
"2000-03-18",297.2373046875,3.23145364224911,2000-03-18,78,3,18,2000
"2000-03-19",297.685882568359,3.38086288049817,2000-03-19,79,3,19,2000
"2000-03-20",297.488159179688,3.39011376351118,2000-03-20,80,3,20,2000
"2000-03-21",298.43603515625,1.39820389728993,2000-03-21,81,3,21,2000
"2000-03-22",298.470764160156,4.33248801529408,2000-03-22,82,3,22,2000
"2000-03-23",297.968963623047,3.43999880179763,2000-03-23,83,3,23,2000
"2000-03-24",298.113800048828,3.37380750849843,2000-03-24,84,3,24,2000
"2000-03-25",298.648559570312,2.10215292329667,2000-03-25,85,3,25,2000
"2000-03-26",299.189392089844,1.75083539937623,2000-03-26,86,3,26,2000
"2000-03-27",298.498992919922,1.84386127255857,2000-03-27,87,3,27,2000
"2000-03-28",297.986389160156,2.69056062400341,2000-03-28,88,3,28,2000
"2000-03-29",298.135467529297,4.4299036860466,2000-03-29,89,3,29,2000
"2000-03-30",297.933685302734,2.58359134872444,2000-03-30,90,3,30,2000
"2000-03-31",297.408721923828,1.84143088385463,2000-03-31,91,3,31,2000
"2000-04-01",297.778228759766,1.78138071508147,2000-04-01,92,4,1,2000
"2000-04-02",298.164459228516,3.14167993143201,2000-04-02,93,4,2,2000
"2000-04-03",297.886688232422,3.0040416456759,2000-04-03,94,4,3,2000
"2000-04-04",297.347442626953,3.91240117698908,2000-04-04,95,4,4,2000
"2000-04-05",297.941345214844,1.98988352902234,2000-04-05,96,4,5,2000
"2000-04-06",298.437469482422,3.03434039466083,2000-04-06,97,4,6,2000
"2000-04-07",298.180877685547,1.89042594097555,2000-04-07,98,4,7,2000
"2000-04-08",298.218170166016,2.73939853906631,2000-04-08,99,4,8,2000
"2000-04-09",298.645904541016,1.2298312485218,2000-04-09,100,4,9,2000
"2000-04-10",299.463439941406,1.93347238749266,2000-04-10,101,4,10,2000
"2000-04-11",299.255889892578,2.0547728613019,2000-04-11,102,4,11,2000
"2000-04-12",298.390655517578,3.01290195435286,2000-04-12,103,4,12,2000
"2000-04-13",297.928131103516,1.90644844248891,2000-04-13,104,4,13,2000
"2000-04-14",297.999755859375,1.38285571616143,2000-04-14,105,4,14,2000
"2000-04-15",298.841278076172,2.32672760915011,2000-04-15,106,4,15,2000
"2000-04-16",298.234619140625,3.14306400716305,2000-04-16,107,4,16,2000
"2000-04-17",298.651611328125,1.47087713703513,2000-04-17,108,4,17,2000
"2000-04-18",298.245208740234,2.61425690725446,2000-04-18,109,4,18,2000
"2000-04-19",297.303527832031,5.1791474968195,2000-04-19,110,4,19,2000
"2000-04-20",297.568664550781,4.15930892527103,2000-04-20,111,4,20,2000
"2000-04-21",297.628082275391,5.16615545004606,2000-04-21,112,4,21,2000
"2000-04-22",297.721313476562,2.81968148052692,2000-04-22,113,4,22,2000
"2000-04-23",297.993621826172,6.03963507711887,2000-04-23,114,4,23,2000
"2000-04-24",298.302154541016,5.11868868768215,2000-04-24,115,4,24,2000
"2000-04-25",298.02734375,2.56070030853152,2000-04-25,116,4,25,2000
"2000-04-26",298.600372314453,1.43333876505494,2000-04-26,117,4,26,2000
"2000-04-27",298.086883544922,2.25921072438359,2000-04-27,118,4,27,2000
"2000-04-28",298.662811279297,1.58593080285937,2000-04-28,119,4,28,2000
"2000-04-29",298.728179931641,1.18712803535163,2000-04-29,120,4,29,2000
"2000-04-30",298.329010009766,0.664026430575177,2000-04-30,121,4,30,2000
"2000-05-01",298.407318115234,1.2425965043949,2000-05-01,122,5,1,2000
"2000-05-02",298.694549560547,1.05128852557391,2000-05-02,123,5,2,2000
"2000-05-03",299.011016845703,1.213817672804,2000-05-03,124,5,3,2000
"2000-05-04",298.595062255859,1.37794273160398,2000-05-04,125,5,4,2000
"2000-05-05",299.340301513672,2.8694231659174,2000-05-05,126,5,5,2000
"2000-05-06",299.826538085938,2.15274281427264,2000-05-06,127,5,6,2000
"2000-05-07",298.787017822266,0.562576743366662,2000-05-07,128,5,7,2000
"2000-05-08",298.523956298828,0.592082701827167,2000-05-08,129,5,8,2000
"2000-05-09",298.430725097656,0.244415017194115,2000-05-09,130,5,9,2000
"2000-05-10",298.794342041016,0.568454219115665,2000-05-10,131,5,10,2000
"2000-05-11",299.704772949219,0.339214676409028,2000-05-11,132,5,11,2000
"2000-05-12",299.054351806641,0.356372378684,2000-05-12,133,5,12,2000
"2000-05-13",299.406036376953,1.23094510659575,2000-05-13,134,5,13,2000
"2000-05-14",299.085845947266,0.882233308628201,2000-05-14,135,5,14,2000
"2000-05-15",299.861694335938,2.01659039221704,2000-05-15,136,5,15,2000
"2000-05-16",300.101654052734,0.838562001823448,2000-05-16,137,5,16,2000
"2000-05-17",299.294769287109,2.43533916177694,2000-05-17,138,5,17,2000
"2000-05-18",297.256958007812,3.23541768593714,2000-05-18,139,5,18,2000
"2000-05-19",297.094085693359,0.28475845901994,2000-05-19,140,5,19,2000
"2000-05-20",297.258483886719,0.243462773678402,2000-05-20,141,5,20,2000
"2000-05-21",297.409332275391,0.00477547848996096,2000-05-21,142,5,21,2000
"2000-05-22",297.743957519531,0.00875174923998401,2000-05-22,143,5,22,2000
"2000-05-23",298.537811279297,0.0581752198757215,2000-05-23,144,5,23,2000
"2000-05-24",299.138946533203,0.173493809688807,2000-05-24,145,5,24,2000
"2000-05-25",299.750579833984,1.10871478436638,2000-05-25,146,5,25,2000
"2000-05-26",299.062255859375,3.13699488714337,2000-05-26,147,5,26,2000
"2000-05-27",299.436431884766,1.50052260188386,2000-05-27,148,5,27,2000
"2000-05-28",299.179107666016,0.0966276190847566,2000-05-28,149,5,28,2000
"2000-05-29",298.45458984375,0.0046556481579515,2000-05-29,150,5,29,2000
"2000-05-30",297.632904052734,0,2000-05-30,151,5,30,2000
"2000-05-31",297.790802001953,0.0451853643394024,2000-05-31,152,5,31,2000
"2000-06-01",298.831420898438,1.04458991333377,2000-06-01,153,6,1,2000
"2000-06-02",298.775115966797,1.03713556565344,2000-06-02,154,6,2,2000
"2000-06-03",298.098266601562,0.0310793017208653,2000-06-03,155,6,3,2000
"2000-06-04",299.2373046875,0.298446123459144,2000-06-04,156,6,4,2000
"2000-06-05",299.909454345703,0.868060919267009,2000-06-05,157,6,5,2000
"2000-06-06",299.237884521484,0.838691383600235,2000-06-06,158,6,6,2000
"2000-06-07",298.246887207031,0.0731643681565401,2000-06-07,159,6,7,2000
"2000-06-08",298.779693603516,0.0269006042667854,2000-06-08,160,6,8,2000
"2000-06-09",298.418792724609,0.0567992350182465,2000-06-09,161,6,9,2000
"2000-06-10",299.135772705078,0.142195334431335,2000-06-10,162,6,10,2000
"2000-06-11",299.138916015625,0.0143080208850843,2000-06-11,163,6,11,2000
"2000-06-12",299.320953369141,0.00309924686758478,2000-06-12,164,6,12,2000
"2000-06-13",299.8095703125,0.411874921632815,2000-06-13,165,6,13,2000
"2000-06-14",300.763946533203,0.592362509458326,2000-06-14,166,6,14,2000
"2000-06-15",300.476959228516,1.42821294208989,2000-06-15,167,6,15,2000
"2000-06-16",300.016571044922,1.84267974831164,2000-06-16,168,6,16,2000
"2000-06-17",300.190643310547,1.32925946079195,2000-06-17,169,6,17,2000
"2000-06-18",299.091888427734,0.33843483007513,2000-06-18,170,6,18,2000
"2000-06-19",299.025543212891,0.124739587365184,2000-06-19,171,6,19,2000
"2000-06-20",299.352874755859,0.329169614313287,2000-06-20,172,6,20,2000
"2000-06-21",299.711944580078,0.60197539463843,2000-06-21,173,6,21,2000
"2000-06-22",299.899810791016,0.336618102954162,2000-06-22,174,6,22,2000
"2000-06-23",299.205718994141,0.000718476353970582,2000-06-23,175,6,23,2000
"2000-06-24",299.275360107422,0.514473650389846,2000-06-24,176,6,24,2000
"2000-06-25",300.372894287109,1.0693982570665,2000-06-25,177,6,25,2000
"2000-06-26",300.899871826172,0.831687437312212,2000-06-26,178,6,26,2000
"2000-06-27",300.942047119141,0.796197307063267,2000-06-27,179,6,27,2000
"2000-06-28",300.232574462891,0.465846384991892,2000-06-28,180,6,28,2000
"2000-06-29",300.9638671875,0.300716284996724,2000-06-29,181,6,29,2000
"2000-06-30",300.844360351562,0.641034759493778,2000-06-30,182,6,30,2000
"2000-07-01",300.59716796875,0.684425412910059,2000-07-01,183,7,1,2000
"2000-07-02",301.112030029297,0.602435381151736,2000-07-02,184,7,2,2000
"2000-07-03",298.862335205078,2.0085077341646,2000-07-03,185,7,3,2000
"2000-07-04",297.805938720703,3.96771163493395,2000-07-04,186,7,4,2000
"2000-07-05",298.477203369141,0.401681399729569,2000-07-05,187,7,5,2000
