"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",299.793151855469,0.616682207473787,2000-01-01,1,1,1,2000
"2000-01-02",299.991455078125,0.361718436346564,2000-01-02,2,1,2,2000
"2000-01-03",298.923309326172,1.84894542163238,2000-01-03,3,1,3,2000
"2000-01-04",296.901977539062,5.81798885017633,2000-01-04,4,1,4,2000
"2000-01-05",298.271697998047,2.90573559817858,2000-01-05,5,1,5,2000
"2000-01-06",297.632232666016,5.28392253816128,2000-01-06,6,1,6,2000
"2000-01-07",296.541900634766,6.89583268761635,2000-01-07,7,1,7,2000
"2000-01-08",296.984375,3.15368623659015,2000-01-08,8,1,8,2000
"2000-01-09",297.084808349609,6.27909079752862,2000-01-09,9,1,9,2000
"2000-01-10",297.456146240234,2.93446156522259,2000-01-10,10,1,10,2000
"2000-01-11",297.982574462891,2.46231836080551,2000-01-11,11,1,11,2000
"2000-01-12",298.337463378906,2.01274659764022,2000-01-12,12,1,12,2000
"2000-01-13",298.129180908203,1.92997018853202,2000-01-13,13,1,13,2000
"2000-01-14",298.376983642578,2.49865631759167,2000-01-14,14,1,14,2000
"2000-01-15",297.515106201172,5.62752865254879,2000-01-15,15,1,15,2000
"2000-01-16",296.889434814453,3.82258815132082,2000-01-16,16,1,16,2000
"2000-01-17",296.961242675781,3.01475604868028,2000-01-17,17,1,17,2000
"2000-01-18",297.251586914062,1.77192087844014,2000-01-18,18,1,18,2000
"2000-01-19",297.912628173828,1.44077924278099,2000-01-19,19,1,19,2000
"2000-01-20",297.940612792969,2.37067940697307,2000-01-20,20,1,20,2000
"2000-01-21",298.298248291016,0.974811655469239,2000-01-21,21,1,21,2000
"2000-01-22",298.085723876953,3.54063808917999,2000-01-22,22,1,22,2000
"2000-01-23",296.993438720703,4.89563504606485,2000-01-23,23,1,23,2000
"2000-01-24",296.543273925781,5.07176052778959,2000-01-24,24,1,24,2000
"2000-01-25",297.939605712891,4.19247236754745,2000-01-25,25,1,25,2000
"2000-01-26",298.088562011719,0.847910686861724,2000-01-26,26,1,26,2000
"2000-01-27",298.847320556641,1.02553042513318,2000-01-27,27,1,27,2000
"2000-01-28",299.474945068359,0.773604999121744,2000-01-28,28,1,28,2000
"2000-01-29",299.063385009766,0.498134297992129,2000-01-29,29,1,29,2000
"2000-01-30",298.607818603516,0.219686472133617,2000-01-30,30,1,30,2000
