"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",298.020050048828,3.60318852216005,2000-01-01,1,1,1,2000
"2000-01-02",298.214752197266,3.52017684280872,2000-01-02,2,1,2,2000
"2000-01-03",298.100738525391,3.23873251676559,2000-01-03,3,1,3,2000
"2000-01-04",298.832000732422,3.82227062433958,2000-01-04,4,1,4,2000
"2000-01-05",297.884979248047,3.83587820082903,2000-01-05,5,1,5,2000
"2000-01-06",298.025482177734,3.5680271089077,2000-01-06,6,1,6,2000
"2000-01-07",297.847900390625,3.82227062433958,2000-01-07,7,1,7,2000
"2000-01-08",298.543609619141,3.59286395460367,2000-01-08,8,1,8,2000
"2000-01-09",298.09423828125,3.92898228764534,2000-01-09,9,1,9,2000
"2000-01-10",298.294036865234,3.84511701017618,2000-01-10,10,1,10,2000
"2000-01-11",298.490692138672,3.51789670437574,2000-01-11,11,1,11,2000
"2000-01-12",298.060760498047,3.87650194019079,2000-01-12,12,1,12,2000
"2000-01-13",297.264923095703,3.79842417687178,2000-01-13,13,1,13,2000
"2000-01-14",297.937530517578,4.39910291135311,2000-01-14,14,1,14,2000
"2000-01-15",298.624145507812,3.67331877350807,2000-01-15,15,1,15,2000
"2000-01-16",298.447723388672,3.62953313812613,2000-01-16,16,1,16,2000
"2000-01-17",297.962554931641,3.74047865718603,2000-01-17,17,1,17,2000
"2000-01-18",298.416961669922,5.08698846399784,2000-01-18,18,1,18,2000
"2000-01-19",298.061401367188,4.76662438362837,2000-01-19,19,1,19,2000
"2000-01-20",298.139495849609,4.81907747685909,2000-01-20,20,1,20,2000
"2000-01-21",297.813232421875,4.36127129942179,2000-01-21,21,1,21,2000
"2000-01-22",297.775482177734,4.30941911414266,2000-01-22,22,1,22,2000
"2000-01-23",297.430267333984,3.35379105061293,2000-01-23,23,1,23,2000
"2000-01-24",297.922821044922,5.6811148673296,2000-01-24,24,1,24,2000
"2000-01-25",298.365386962891,3.68685455340892,2000-01-25,25,1,25,2000
"2000-01-26",298.793640136719,2.49027617461979,2000-01-26,26,1,26,2000
"2000-01-27",298.236297607422,2.42330282740295,2000-01-27,27,1,27,2000
"2000-01-28",299.379241943359,2.29327520541847,2000-01-28,28,1,28,2000
"2000-01-29",298.506439208984,3.27057898323983,2000-01-29,29,1,29,2000
"2000-01-30",299.150146484375,4.9951424151659,2000-01-30,30,1,30,2000
"2000-01-31",299.584350585938,4.20480578765273,2000-01-31,31,1,31,2000
"2000-02-01",297.955230712891,5.59069949388504,2000-02-01,32,2,1,2000
"2000-02-02",297.932220458984,3.25793743412942,2000-02-02,33,2,2,2000
"2000-02-03",298.265625,4.74635085836053,2000-02-03,34,2,3,2000
"2000-02-04",298.511383056641,5.24604815244675,2000-02-04,35,2,4,2000
"2000-02-05",297.590850830078,4.14486742019653,2000-02-05,36,2,5,2000
"2000-02-06",297.942901611328,4.52198875695467,2000-02-06,37,2,6,2000
"2000-02-07",298.081207275391,4.95544990897179,2000-02-07,38,2,7,2000
"2000-02-08",297.424407958984,5.25498105585575,2000-02-08,39,2,8,2000
"2000-02-09",297.901519775391,4.75833022594452,2000-02-09,40,2,9,2000
"2000-02-10",298.390350341797,4.39447592198849,2000-02-10,41,2,10,2000
"2000-02-11",297.589141845703,5.57766204327345,2000-02-11,42,2,11,2000
"2000-02-12",297.803131103516,4.04013969376683,2000-02-12,43,2,12,2000
"2000-02-13",297.145294189453,5.26661673933268,2000-02-13,44,2,13,2000
"2000-02-14",297.048217773438,5.18625763058662,2000-02-14,45,2,14,2000
"2000-02-15",297.220794677734,5.02185117453337,2000-02-15,46,2,15,2000
"2000-02-16",297.608856201172,5.78442406654358,2000-02-16,47,2,16,2000
"2000-02-17",297.308746337891,4.99216285347939,2000-02-17,48,2,17,2000
"2000-02-18",296.915924072266,6.31733557581902,2000-02-18,49,2,18,2000
"2000-02-19",298.006988525391,4.57041973620653,2000-02-19,50,2,19,2000
"2000-02-20",297.327392578125,6.54348388314247,2000-02-20,51,2,20,2000
"2000-02-21",297.801605224609,5.35492108762264,2000-02-21,52,2,21,2000
"2000-02-22",297.926177978516,5.3753917068243,2000-02-22,53,2,22,2000
"2000-02-23",297.193145751953,4.54512459784746,2000-02-23,54,2,23,2000
"2000-02-24",297.490051269531,3.80578796565533,2000-02-24,55,2,24,2000
"2000-02-25",298.064636230469,3.79966541193426,2000-02-25,56,2,25,2000
"2000-02-26",298.367279052734,5.84514757245779,2000-02-26,57,2,26,2000
"2000-02-27",298.470367431641,5.80193976312876,2000-02-27,58,2,27,2000
"2000-02-28",297.697357177734,2.97857706621289,2000-02-28,59,2,28,2000
"2000-02-29",298.52099609375,3.30740840546787,2000-02-29,60,2,29,2000
"2000-03-01",298.767944335938,6.02411141991615,2000-03-01,61,3,1,2000
"2000-03-02",298.733642578125,5.1782162040472,2000-03-02,62,3,2,2000
"2000-03-03",298.302703857422,5.26888953149319,2000-03-03,63,3,3,2000
"2000-03-04",298.633911132812,6.05066250264645,2000-03-04,64,3,4,2000
"2000-03-05",298.484130859375,6.5822400636971,2000-03-05,65,3,5,2000
"2000-03-06",297.674530029297,4.30341544002295,2000-03-06,66,3,6,2000
"2000-03-07",298.077697753906,3.28464763611555,2000-03-07,67,3,7,2000
"2000-03-08",298.539703369141,5.24417980015278,2000-03-08,68,3,8,2000
