"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",300.251159667969,3.03507417812943,2000-01-01,1,1,1,2000
"2000-01-02",300.857025146484,0.803710244596004,2000-01-02,2,1,2,2000
"2000-01-03",299.847137451172,3.80584799975622,2000-01-03,3,1,3,2000
"2000-01-04",298.972290039062,5.44425283372402,2000-01-04,4,1,4,2000
"2000-01-05",298.282775878906,6.17734985053539,2000-01-05,5,1,5,2000
"2000-01-06",298.560302734375,8.73100751638412,2000-01-06,6,1,6,2000
"2000-01-07",298.596923828125,5.4842237085104,2000-01-07,7,1,7,2000
"2000-01-08",299.414398193359,4.17528994381428,2000-01-08,8,1,8,2000
"2000-01-09",299.24658203125,5.02328533958644,2000-01-09,9,1,9,2000
"2000-01-10",298.997497558594,1.93413513433188,2000-01-10,10,1,10,2000
"2000-01-11",299.704895019531,3.52209174446762,2000-01-11,11,1,11,2000
"2000-01-12",299.360900878906,2.69957769103348,2000-01-12,12,1,12,2000
"2000-01-13",299.434204101562,1.27690294198692,2000-01-13,13,1,13,2000
"2000-01-14",299.404022216797,2.06938654440455,2000-01-14,14,1,14,2000
"2000-01-15",298.868286132812,2.53860707953572,2000-01-15,15,1,15,2000
"2000-01-16",299.164184570312,1.48143891524523,2000-01-16,16,1,16,2000
"2000-01-17",298.592437744141,3.82482245378196,2000-01-17,17,1,17,2000
"2000-01-18",299.179962158203,2.42902959696949,2000-01-18,18,1,18,2000
"2000-01-19",299.721557617188,0.344699811714236,2000-01-19,19,1,19,2000
"2000-01-20",299.429534912109,1.76608354924247,2000-01-20,20,1,20,2000
"2000-01-21",299.359771728516,2.81101166829467,2000-01-21,21,1,21,2000
"2000-01-22",299.135528564453,3.98122743889689,2000-01-22,22,1,22,2000
"2000-01-23",298.634704589844,1.97570486646146,2000-01-23,23,1,23,2000
"2000-01-24",298.609344482422,0.326012765988708,2000-01-24,24,1,24,2000
"2000-01-25",299.152801513672,0.512300606009376,2000-01-25,25,1,25,2000
"2000-01-26",299.220062255859,0.0360570859375002,2000-01-26,26,1,26,2000
"2000-01-27",300.032867431641,0.801614563228213,2000-01-27,27,1,27,2000
"2000-01-28",300.461944580078,0.605889965780079,2000-01-28,28,1,28,2000
"2000-01-29",300.010345458984,0.713058857945725,2000-01-29,29,1,29,2000
"2000-01-30",299.930084228516,0.567283297350514,2000-01-30,30,1,30,2000
"2000-01-31",300.173217773438,0.790972718554258,2000-01-31,31,1,31,2000
"2000-02-01",300.74462890625,0.543672535335645,2000-02-01,32,2,1,2000
"2000-02-02",300.662994384766,0.920444335555658,2000-02-02,33,2,2,2000
"2000-02-03",300.085601806641,1.75329023227096,2000-02-03,34,2,3,2000
"2000-02-04",300.1162109375,1.58369050826877,2000-02-04,35,2,4,2000
"2000-02-05",300.055694580078,1.12726884405129,2000-02-05,36,2,5,2000
"2000-02-06",300.020690917969,0.844229701906443,2000-02-06,37,2,6,2000
"2000-02-07",299.939605712891,1.38380850153044,2000-02-07,38,2,7,2000
"2000-02-08",299.097564697266,2.96099422778934,2000-02-08,39,2,8,2000
"2000-02-09",299.138153076172,2.62364728469402,2000-02-09,40,2,9,2000
"2000-02-10",299.708709716797,0.989961131475866,2000-02-10,41,2,10,2000
"2000-02-11",299.942321777344,2.99414000846446,2000-02-11,42,2,11,2000
"2000-02-12",299.688568115234,5.05299365893006,2000-02-12,43,2,12,2000
"2000-02-13",299.088958740234,3.27215986140072,2000-02-13,44,2,13,2000
"2000-02-14",299.249725341797,3.77593937888741,2000-02-14,45,2,14,2000
"2000-02-15",299.460723876953,4.96651922166348,2000-02-15,46,2,15,2000
"2000-02-16",299.149566650391,4.73764979094267,2000-02-16,47,2,16,2000
"2000-02-17",299.20068359375,3.94528965651989,2000-02-17,48,2,17,2000
"2000-02-18",299.198150634766,3.23612629249692,2000-02-18,49,2,18,2000
"2000-02-19",299.037902832031,5.15124096721411,2000-02-19,50,2,19,2000
"2000-02-20",298.185791015625,6.43959517776966,2000-02-20,51,2,20,2000
"2000-02-21",298.25830078125,4.48448760807514,2000-02-21,52,2,21,2000
"2000-02-22",298.500701904297,5.20813520252705,2000-02-22,53,2,22,2000
"2000-02-23",298.724395751953,3.56158655881882,2000-02-23,54,2,23,2000
"2000-02-24",298.309387207031,3.954320888035,2000-02-24,55,2,24,2000
"2000-02-25",298.386901855469,2.39085251651704,2000-02-25,56,2,25,2000
"2000-02-26",298.949310302734,5.6804800927639,2000-02-26,57,2,26,2000
"2000-02-27",299.196624755859,5.48730707541108,2000-02-27,58,2,27,2000
