"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",300.632019042969,2.24074822664261,2000-01-01,1,1,1,2000
"2000-01-02",300.569915771484,1.86659872159362,2000-01-02,2,1,2,2000
"2000-01-03",300.196746826172,2.55230649374425,2000-01-03,3,1,3,2000
"2000-01-04",298.335571289062,4.53806211799383,2000-01-04,4,1,4,2000
"2000-01-05",297.735260009766,4.40929511189461,2000-01-05,5,1,5,2000
"2000-01-06",298.216217041016,4.97937846183777,2000-01-06,6,1,6,2000
"2000-01-07",299.346282958984,3.73541169986129,2000-01-07,7,1,7,2000
"2000-01-08",298.839202880859,5.62167422473431,2000-01-08,8,1,8,2000
"2000-01-09",298.55517578125,3.63611309975386,2000-01-09,9,1,9,2000
"2000-01-10",299.538848876953,2.43439832143486,2000-01-10,10,1,10,2000
"2000-01-11",299.732574462891,3.84093784540892,2000-01-11,11,1,11,2000
"2000-01-12",299.330963134766,3.36352436244488,2000-01-12,12,1,12,2000
"2000-01-13",299.477508544922,2.02664660289884,2000-01-13,13,1,13,2000
"2000-01-14",299.143585205078,3.24266016483307,2000-01-14,14,1,14,2000
"2000-01-15",299.214630126953,5.33103484660387,2000-01-15,15,1,15,2000
"2000-01-16",299.180786132812,2.05991850420833,2000-01-16,16,1,16,2000
"2000-01-17",298.779266357422,2.45027109608054,2000-01-17,17,1,17,2000
"2000-01-18",298.983032226562,4.60971648991108,2000-01-18,18,1,18,2000
"2000-01-19",299.389190673828,2.07195730507374,2000-01-19,19,1,19,2000
"2000-01-20",299.019073486328,3.98665304854512,2000-01-20,20,1,20,2000
"2000-01-21",298.816162109375,4.17322921007872,2000-01-21,21,1,21,2000
"2000-01-22",299.426208496094,6.58400921523571,2000-01-22,22,1,22,2000
"2000-01-23",299.204376220703,4.51574645936489,2000-01-23,23,1,23,2000
"2000-01-24",299.518859863281,2.40573677420616,2000-01-24,24,1,24,2000
"2000-01-25",299.648254394531,0.533611445920542,2000-01-25,25,1,25,2000
"2000-01-26",299.826507568359,0.126143808869756,2000-01-26,26,1,26,2000
"2000-01-27",300.291320800781,1.09293477312895,2000-01-27,27,1,27,2000
"2000-01-28",299.905609130859,1.5000298731029,2000-01-28,28,1,28,2000
"2000-01-29",300.758392333984,0.945974227041006,2000-01-29,29,1,29,2000
"2000-01-30",300.551849365234,0.187317554911715,2000-01-30,30,1,30,2000
"2000-01-31",300.292022705078,2.06274580070931,2000-01-31,31,1,31,2000
"2000-02-01",300.398284912109,4.35603150725365,2000-02-01,32,2,1,2000
"2000-02-02",299.946533203125,3.8348187059164,2000-02-02,33,2,2,2000
"2000-02-03",299.560546875,3.15158202499151,2000-02-03,34,2,3,2000
"2000-02-04",299.9599609375,3.1272625233978,2000-02-04,35,2,4,2000
"2000-02-05",300.197967529297,1.16841490287334,2000-02-05,36,2,5,2000
"2000-02-06",299.513214111328,1.25159691553563,2000-02-06,37,2,6,2000
"2000-02-07",299.351409912109,3.94245352223516,2000-02-07,38,2,7,2000
"2000-02-08",298.576751708984,5.70560306310654,2000-02-08,39,2,8,2000
"2000-02-09",298.679504394531,5.25347109138966,2000-02-09,40,2,9,2000
"2000-02-10",299.609100341797,2.03865518979728,2000-02-10,41,2,10,2000
"2000-02-11",299.593353271484,2.00384863861836,2000-02-11,42,2,11,2000
"2000-02-12",299.147552490234,5.43865456432104,2000-02-12,43,2,12,2000
"2000-02-13",298.983489990234,5.51775982230902,2000-02-13,44,2,13,2000
"2000-02-14",298.726593017578,5.93195186555386,2000-02-14,45,2,14,2000
"2000-02-15",297.880310058594,4.79280016571283,2000-02-15,46,2,15,2000
"2000-02-16",298.486480712891,6.198202714324,2000-02-16,47,2,16,2000
"2000-02-17",298.38720703125,4.05702975392342,2000-02-17,48,2,17,2000
"2000-02-18",298.771728515625,5.71066472679377,2000-02-18,49,2,18,2000
"2000-02-19",299.091613769531,5.10422518849373,2000-02-19,50,2,19,2000
"2000-02-20",298.934814453125,5.32203859090805,2000-02-20,51,2,20,2000
"2000-02-21",298.44287109375,5.7695699930191,2000-02-21,52,2,21,2000
"2000-02-22",298.352264404297,5.4165151938796,2000-02-22,53,2,22,2000
"2000-02-23",298.901153564453,3.22345467656851,2000-02-23,54,2,23,2000
"2000-02-24",299.079895019531,5.72595207393169,2000-02-24,55,2,24,2000
"2000-02-25",299.268737792969,3.26132247596979,2000-02-25,56,2,25,2000
"2000-02-26",299.251068115234,4.63757836446166,2000-02-26,57,2,26,2000
"2000-02-27",299.045562744141,5.92006992548704,2000-02-27,58,2,27,2000
"2000-02-28",299.327575683594,2.39204092510045,2000-02-28,59,2,28,2000
"2000-02-29",299.38134765625,6.26674556732178,2000-02-29,60,2,29,2000
"2000-03-01",299.332397460938,5.33274652808905,2000-03-01,61,3,1,2000
"2000-03-02",298.954681396484,5.49850887805223,2000-03-02,62,3,2,2000
"2000-03-03",299.557922363281,5.94108784198761,2000-03-03,63,3,3,2000
"2000-03-04",299.528442382812,4.01472936570644,2000-03-04,64,3,4,2000
"2000-03-05",299.351654052734,2.27091204747558,2000-03-05,65,3,5,2000
"2000-03-06",299.618560791016,4.28126452118158,2000-03-06,66,3,6,2000
"2000-03-07",299.242401123047,3.8383733779192,2000-03-07,67,3,7,2000
"2000-03-08",299.143859863281,5.0345064252615,2000-03-08,68,3,8,2000
"2000-03-09",298.457000732422,3.98878268897533,2000-03-09,69,3,9,2000
"2000-03-10",299.153289794922,5.06377103924751,2000-03-10,70,3,10,2000
"2000-03-11",299.809234619141,3.57271946966648,2000-03-11,71,3,11,2000
"2000-03-12",300.038940429688,3.57471387833357,2000-03-12,72,3,12,2000
"2000-03-13",299.595397949219,2.63138734176755,2000-03-13,73,3,13,2000
"2000-03-14",299.405517578125,4.57457609474659,2000-03-14,74,3,14,2000
"2000-03-15",299.768127441406,2.8303534090519,2000-03-15,75,3,15,2000
"2000-03-16",299.882781982422,1.72801029123366,2000-03-16,76,3,16,2000
"2000-03-17",300.266265869141,2.88528596237302,2000-03-17,77,3,17,2000
