"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",298.791839599609,1.45076293396414,2000-01-01,1,1,1,2000
"2000-01-02",297.432525634766,3.90858428593492,2000-01-02,2,1,2,2000
"2000-01-03",297.762176513672,1.31265340922982,2000-01-03,3,1,3,2000
"2000-01-04",298.980743408203,1.56754080383689,2000-01-04,4,1,4,2000
"2000-01-05",298.513885498047,0.94929170931573,2000-01-05,5,1,5,2000
"2000-01-06",298.971771240234,2.88476531207561,2000-01-06,6,1,6,2000
"2000-01-07",298.534423828125,1.63598899563658,2000-01-07,7,1,7,2000
"2000-01-08",298.0908203125,1.40327579461155,2000-01-08,8,1,8,2000
"2000-01-09",298.794769287109,0.992097182694124,2000-01-09,9,1,9,2000
"2000-01-10",299.318786621094,1.65535798974452,2000-01-10,10,1,10,2000
"2000-01-11",299.438629150391,1.25575887825107,2000-01-11,11,1,11,2000
"2000-01-12",298.895721435547,1.68224440401536,2000-01-12,12,1,12,2000
"2000-01-13",300.264282226562,0.894082729064394,2000-01-13,13,1,13,2000
"2000-01-14",299.871459960938,0.594621802272741,2000-01-14,14,1,14,2000
"2000-01-15",300.536254882812,1.25322047417285,2000-01-15,15,1,15,2000
"2000-01-16",299.939239501953,1.23354198678862,2000-01-16,16,1,16,2000
"2000-01-17",300.885711669922,1.33080294568208,2000-01-17,17,1,17,2000
"2000-01-18",299.798126220703,0.633172756288332,2000-01-18,18,1,18,2000
"2000-01-19",298.402557373047,3.06678832322359,2000-01-19,19,1,19,2000
"2000-01-20",297.354034423828,3.58014466613531,2000-01-20,20,1,20,2000
"2000-01-21",297.200927734375,2.38439654186368,2000-01-21,21,1,21,2000
"2000-01-22",298.117279052734,1.1673063817434,2000-01-22,22,1,22,2000
"2000-01-23",298.249938964844,2.75774612650275,2000-01-23,23,1,23,2000
"2000-01-24",298.108062744141,3.76107986271381,2000-01-24,24,1,24,2000
"2000-01-25",299.314605712891,3.26825428754091,2000-01-25,25,1,25,2000
"2000-01-26",298.631866455078,3.03343442594633,2000-01-26,26,1,26,2000
"2000-01-27",296.258758544922,3.84550647623837,2000-01-27,27,1,27,2000
"2000-01-28",296.149444580078,1.57759983697906,2000-01-28,28,1,28,2000
"2000-01-29",296.218994140625,1.20385392825119,2000-01-29,29,1,29,2000
"2000-01-30",296.140045166016,1.66852527079755,2000-01-30,30,1,30,2000
"2000-01-31",298.138397216797,1.29052932499326,2000-01-31,31,1,31,2000
"2000-02-01",299.500152587891,1.6861813365831,2000-02-01,32,2,1,2000
"2000-02-02",298.369384765625,2.90293512865901,2000-02-02,33,2,2,2000
"2000-02-03",297.9130859375,1.07940693292767,2000-02-03,34,2,3,2000
"2000-02-04",299.7255859375,1.21524341151235,2000-02-04,35,2,4,2000
"2000-02-05",299.074920654297,1.88541659340262,2000-02-05,36,2,5,2000
"2000-02-06",297.153839111328,2.46963451057673,2000-02-06,37,2,6,2000
"2000-02-07",297.31689453125,3.59642493724823,2000-02-07,38,2,7,2000
"2000-02-08",297.975494384766,2.16246046870947,2000-02-08,39,2,8,2000
"2000-02-09",298.388488769531,1.64620756357908,2000-02-09,40,2,9,2000
"2000-02-10",298.072631835938,2.58190522715449,2000-02-10,41,2,10,2000
"2000-02-11",298.796478271484,4.14234654605389,2000-02-11,42,2,11,2000
"2000-02-12",299.289459228516,4.25910337269306,2000-02-12,43,2,12,2000
"2000-02-13",299.218536376953,1.70976064354181,2000-02-13,44,2,13,2000
"2000-02-14",300.191436767578,0.856992622371763,2000-02-14,45,2,14,2000
"2000-02-15",299.802185058594,0.759432027116418,2000-02-15,46,2,15,2000
"2000-02-16",297.633605957031,5.24222777970135,2000-02-16,47,2,16,2000
"2000-02-17",296.139495849609,6.90943858772516,2000-02-17,48,2,17,2000
"2000-02-18",295.511322021484,4.10118608176708,2000-02-18,49,2,18,2000
"2000-02-19",295.984191894531,3.51312787085772,2000-02-19,50,2,19,2000
"2000-02-20",296.258056640625,1.81638455018401,2000-02-20,51,2,20,2000
"2000-02-21",297.008636474609,0.685078781505581,2000-02-21,52,2,21,2000
"2000-02-22",297.924530029297,0.126507484936155,2000-02-22,53,2,22,2000
"2000-02-23",298.241333007812,1.27430776617257,2000-02-23,54,2,23,2000
"2000-02-24",298.837371826172,1.72398212831467,2000-02-24,55,2,24,2000
"2000-02-25",298.316253662109,0.90800707321614,2000-02-25,56,2,25,2000
"2000-02-26",298.335693359375,0.907152949366719,2000-02-26,57,2,26,2000
"2000-02-27",298.6806640625,0.439562014304101,2000-02-27,58,2,27,2000
"2000-02-28",299.400817871094,0.264828435145319,2000-02-28,59,2,28,2000
"2000-02-29",299.670745849609,0.37110912965727,2000-02-29,60,2,29,2000
"2000-03-01",299.011749267578,0.395192523952574,2000-03-01,61,3,1,2000
"2000-03-02",298.196868896484,0.371873132418841,2000-03-02,62,3,2,2000
"2000-03-03",297.993133544922,0.1209383563546,2000-03-03,63,3,3,2000
"2000-03-04",299.065551757812,0.934733736794442,2000-03-04,64,3,4,2000
"2000-03-05",299.467193603516,0.39307295915205,2000-03-05,65,3,5,2000
"2000-03-06",299.666717529297,0.225451222198899,2000-03-06,66,3,6,2000
"2000-03-07",297.579010009766,2.47284772992134,2000-03-07,67,3,7,2000
"2000-03-08",296.475891113281,4.27525052055717,2000-03-08,68,3,8,2000
"2000-03-09",295.666961669922,0.414662178605795,2000-03-09,69,3,9,2000
"2000-03-10",296.230743408203,2.23858573054895,2000-03-10,70,3,10,2000
"2000-03-11",295.852874755859,2.84435337036848,2000-03-11,71,3,11,2000
"2000-03-12",295.835815429688,3.63215469941497,2000-03-12,72,3,12,2000
"2000-03-13",295.668304443359,1.35836931038648,2000-03-13,73,3,13,2000
"2000-03-14",295.946533203125,0.505297675961629,2000-03-14,74,3,14,2000
"2000-03-15",296.512908935547,1.31309187225997,2000-03-15,75,3,15,2000
"2000-03-16",297.388641357422,2.63103873282671,2000-03-16,76,3,16,2000
"2000-03-17",298.003234863281,2.55523205548525,2000-03-17,77,3,17,2000
"2000-03-18",297.779632568359,3.72788318246603,2000-03-18,78,3,18,2000
"2000-03-19",296.985687255859,4.85665652155876,2000-03-19,79,3,19,2000
"2000-03-20",296.250213623047,3.51733677834272,2000-03-20,80,3,20,2000
"2000-03-21",296.57177734375,2.926134981215,2000-03-21,81,3,21,2000
"2000-03-22",297.072326660156,1.70774592831731,2000-03-22,82,3,22,2000
"2000-03-23",297.058502197266,1.708749871701,2000-03-23,83,3,23,2000
"2000-03-24",298.090362548828,0.504766821861267,2000-03-24,84,3,24,2000
"2000-03-25",297.838012695312,1.88030552212149,2000-03-25,85,3,25,2000
"2000-03-26",296.840423583984,2.83491772413254,2000-03-26,86,3,26,2000
"2000-03-27",298.054992675781,2.44029238075018,2000-03-27,87,3,27,2000
"2000-03-28",298.113342285156,4.00719045847654,2000-03-28,88,3,28,2000
"2000-03-29",296.863006591797,4.99960824847221,2000-03-29,89,3,29,2000
"2000-03-30",296.909271240234,2.32533336058259,2000-03-30,90,3,30,2000
"2000-03-31",297.498565673828,3.31790847331285,2000-03-31,91,3,31,2000
"2000-04-01",297.690338134766,1.86756674200296,2000-04-01,92,4,1,2000
"2000-04-02",296.678802490234,4.8478601872921,2000-04-02,93,4,2,2000
"2000-04-03",295.790313720703,2.60424827411771,2000-04-03,94,4,3,2000
"2000-04-04",295.868927001953,1.12087695859373,2000-04-04,95,4,4,2000
