"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",297.063995361328,4.14726619422436,2000-01-01,1,1,1,2000
"2000-01-02",296.910400390625,4.83798799663782,2000-01-02,2,1,2,2000
"2000-01-03",297.912567138672,5.98850747942924,2000-01-03,3,1,3,2000
"2000-01-04",296.923797607422,5.41412372142076,2000-01-04,4,1,4,2000
"2000-01-05",296.162658691406,3.18948219716549,2000-01-05,5,1,5,2000
"2000-01-06",295.172607421875,1.50608985871077,2000-01-06,6,1,6,2000
"2000-01-07",297.397705078125,2.11855590343475,2000-01-07,7,1,7,2000
"2000-01-08",297.1748046875,2.97462365031242,2000-01-08,8,1,8,2000
"2000-01-09",296.429534912109,4.6712414175272,2000-01-09,9,1,9,2000
"2000-01-10",296.388458251953,1.91457611136138,2000-01-10,10,1,10,2000
"2000-01-11",296.765441894531,2.26175359450281,2000-01-11,11,1,11,2000
"2000-01-12",296.926971435547,2.91230094619095,2000-01-12,12,1,12,2000
"2000-01-13",297.314727783203,2.70427848678082,2000-01-13,13,1,13,2000
"2000-01-14",297.593139648438,1.75407815771177,2000-01-14,14,1,14,2000
"2000-01-15",298.334442138672,1.38117963732657,2000-01-15,15,1,15,2000
"2000-01-16",299.148895263672,2.50282456260175,2000-01-16,16,1,16,2000
"2000-01-17",298.972625732422,2.02393941790797,2000-01-17,17,1,17,2000
"2000-01-18",298.031219482422,2.20186785981059,2000-01-18,18,1,18,2000
"2000-01-19",298.850463867188,1.08695969963446,2000-01-19,19,1,19,2000
"2000-01-20",298.851745605469,2.17097485996783,2000-01-20,20,1,20,2000
"2000-01-21",298.067138671875,2.59734365716577,2000-01-21,21,1,21,2000
"2000-01-22",296.618591308594,3.54708204977214,2000-01-22,22,1,22,2000
"2000-01-23",298.567321777344,3.14678290998563,2000-01-23,23,1,23,2000
"2000-01-24",298.321258544922,1.54275808529928,2000-01-24,24,1,24,2000
"2000-01-25",297.414855957031,2.15985804051161,2000-01-25,25,1,25,2000
"2000-01-26",296.362640380859,2.35794533975422,2000-01-26,26,1,26,2000
"2000-01-27",296.074523925781,4.92691816389561,2000-01-27,27,1,27,2000
"2000-01-28",295.882171630859,3.29916374757886,2000-01-28,28,1,28,2000
"2000-01-29",297.279541015625,3.22634463384748,2000-01-29,29,1,29,2000
"2000-01-30",298.448333740234,4.00609896332026,2000-01-30,30,1,30,2000
"2000-01-31",299.317749023438,3.91391731798649,2000-01-31,31,1,31,2000
"2000-02-01",298.731597900391,2.81161824055016,2000-02-01,32,2,1,2000
"2000-02-02",298.218353271484,1.95687309745699,2000-02-02,33,2,2,2000
"2000-02-03",297.572906494141,1.46333330404013,2000-02-03,34,2,3,2000
"2000-02-04",297.592437744141,2.45303601585329,2000-02-04,35,2,4,2000
"2000-02-05",297.916717529297,3.43724380433559,2000-02-05,36,2,5,2000
"2000-02-06",298.082550048828,3.68031393736601,2000-02-06,37,2,6,2000
"2000-02-07",296.179534912109,6.34300294518471,2000-02-07,38,2,7,2000
"2000-02-08",295.504486083984,5.79389198124409,2000-02-08,39,2,8,2000
"2000-02-09",295.535949707031,4.04431013017893,2000-02-09,40,2,9,2000
"2000-02-10",296.369171142578,3.90464080870152,2000-02-10,41,2,10,2000
"2000-02-11",296.310485839844,5.02204506099224,2000-02-11,42,2,11,2000
"2000-02-12",296.239654541016,5.83114582300186,2000-02-12,43,2,12,2000
"2000-02-13",296.762786865234,2.70345738530159,2000-02-13,44,2,13,2000
"2000-02-14",296.985076904297,2.71495600230992,2000-02-14,45,2,14,2000
"2000-02-15",297.897552490234,2.3040492660366,2000-02-15,46,2,15,2000
"2000-02-16",297.361145019531,1.92069168947637,2000-02-16,47,2,16,2000
"2000-02-17",296.84326171875,3.05038045346737,2000-02-17,48,2,17,2000
"2000-02-18",297.659423828125,3.3387996070087,2000-02-18,49,2,18,2000
"2000-02-19",296.364074707031,2.64434622041881,2000-02-19,50,2,19,2000
"2000-02-20",296.685150146484,1.55165005545132,2000-02-20,51,2,20,2000
