"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",297.817901611328,1.23143771383911,2000-01-01,1,1,1,2000
"2000-01-02",297.898040771484,0.893809324828908,2000-01-02,2,1,2,2000
"2000-01-03",297.703277587891,2.97097110748291,2000-01-03,3,1,3,2000
"2000-01-04",297.334259033203,3.41354309767485,2000-01-04,4,1,4,2000
"2000-01-05",297.477752685547,2.49576149880886,2000-01-05,5,1,5,2000
"2000-01-06",297.484466552734,3.14098440483212,2000-01-06,6,1,6,2000
"2000-01-07",296.760009765625,6.4015691280365,2000-01-07,7,1,7,2000
"2000-01-08",296.576171875,5.53208747506142,2000-01-08,8,1,8,2000
"2000-01-09",296.854339599609,3.07398712262511,2000-01-09,9,1,9,2000
"2000-01-10",296.867950439453,0.937413581181318,2000-01-10,10,1,10,2000
"2000-01-11",297.144012451172,1.37020960683003,2000-01-11,11,1,11,2000
"2000-01-12",297.696197509766,1.71085798554122,2000-01-12,12,1,12,2000
"2000-01-13",297.555297851562,0.964974176138639,2000-01-13,13,1,13,2000
"2000-01-14",297.066772460938,3.60563502088189,2000-01-14,14,1,14,2000
"2000-01-15",297.432098388672,4.91166720539331,2000-01-15,15,1,15,2000
"2000-01-16",297.548614501953,1.08685994148254,2000-01-16,16,1,16,2000
"2000-01-17",297.452789306641,3.16110890358686,2000-01-17,17,1,17,2000
"2000-01-18",297.998016357422,1.49786912463605,2000-01-18,18,1,18,2000
"2000-01-19",298.431854248047,0.58036982480553,2000-01-19,19,1,19,2000
"2000-01-20",298.463073730469,0.782835012395708,2000-01-20,20,1,20,2000
"2000-01-21",298.743896484375,1.13760441914201,2000-01-21,21,1,21,2000
"2000-01-22",297.932708740234,2.37029754091054,2000-01-22,22,1,22,2000
"2000-01-23",298.565368652344,2.32865746878088,2000-01-23,23,1,23,2000
"2000-01-24",298.654266357422,2.11487279972062,2000-01-24,24,1,24,2000
"2000-01-25",298.553527832031,1.72570690978318,2000-01-25,25,1,25,2000
"2000-01-26",298.771820068359,1.58143977727741,2000-01-26,26,1,26,2000
"2000-01-27",299.023101806641,0.763247557915747,2000-01-27,27,1,27,2000
"2000-01-28",299.334655761719,0.279888194469095,2000-01-28,28,1,28,2000
"2000-01-29",298.532470703125,0.170654303976335,2000-01-29,29,1,29,2000
"2000-01-30",298.578216552734,1.25695062335581,2000-01-30,30,1,30,2000
"2000-01-31",298.688201904297,1.08034168276936,2000-01-31,31,1,31,2000
"2000-02-01",298.968902587891,1.69804897718132,2000-02-01,32,2,1,2000
"2000-02-02",299.566650390625,0.6127548426266,2000-02-02,33,2,2,2000
"2000-02-03",299.786468505859,1.38519959204132,2000-02-03,34,2,3,2000
"2000-02-04",299.031890869141,2.44435306731611,2000-02-04,35,2,4,2000
"2000-02-05",298.855834960938,1.01180102070794,2000-02-05,36,2,5,2000
"2000-02-06",299.084503173828,0.632200814259704,2000-02-06,37,2,6,2000
"2000-02-07",299.376800537109,1.97315021650866,2000-02-07,38,2,7,2000
"2000-02-08",298.731048583984,3.16742309555411,2000-02-08,39,2,8,2000
"2000-02-09",298.072082519531,1.38152435049415,2000-02-09,40,2,9,2000
"2000-02-10",296.965850830078,5.27395110577345,2000-02-10,41,2,10,2000
"2000-02-11",298.066345214844,1.58159504178911,2000-02-11,42,2,11,2000
"2000-02-12",297.544036865234,0.709152436582372,2000-02-12,43,2,12,2000
"2000-02-13",298.746185302734,1.66933855507523,2000-02-13,44,2,13,2000
"2000-02-14",297.035186767578,5.05086623132229,2000-02-14,45,2,14,2000
"2000-02-15",297.050231933594,5.98704399168491,2000-02-15,46,2,15,2000
"2000-02-16",296.467926025391,4.15618526190519,2000-02-16,47,2,16,2000
"2000-02-17",297.646331787109,3.18926499783993,2000-02-17,48,2,17,2000
"2000-02-18",298.250244140625,1.97452226094902,2000-02-18,49,2,18,2000
"2000-02-19",297.773590087891,2.5812684642151,2000-02-19,50,2,19,2000
"2000-02-20",296.468994140625,3.98838892579079,2000-02-20,51,2,20,2000
"2000-02-21",297.89794921875,3.63525656610727,2000-02-21,52,2,21,2000
"2000-02-22",297.483459472656,4.38704816997051,2000-02-22,53,2,22,2000
"2000-02-23",297.473419189453,5.73907649517059,2000-02-23,54,2,23,2000
"2000-02-24",298.179168701172,3.59748057601973,2000-02-24,55,2,24,2000
"2000-02-25",297.269378662109,0.489065957022831,2000-02-25,56,2,25,2000
"2000-02-26",297.106201171875,3.43480016256217,2000-02-26,57,2,26,2000
"2000-02-27",297.934906005859,3.06254474259913,2000-02-27,58,2,27,2000
"2000-02-28",297.957458496094,0.740203880530316,2000-02-28,59,2,28,2000
