"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",297.868347167969,6.05931910872459,2000-01-01,1,1,1,2000
"2000-01-02",297.180908203125,5.72504490613937,2000-01-02,2,1,2,2000
"2000-01-03",297.442199707031,5.64668659865856,2000-01-03,3,1,3,2000
"2000-01-04",298.853149414062,3.57144645601511,2000-01-04,4,1,4,2000
"2000-01-05",299.387908935547,1.30926609039307,2000-01-05,5,1,5,2000
"2000-01-06",298.913482666016,1.35350513085723,2000-01-06,6,1,6,2000
"2000-01-07",298.283447265625,0.0832502455186882,2000-01-07,7,1,7,2000
"2000-01-08",297.8740234375,0.263668905463419,2000-01-08,8,1,8,2000
"2000-01-09",298.213043212891,0.384374534478411,2000-01-09,9,1,9,2000
"2000-01-10",298.474060058594,0.0990875525749288,2000-01-10,10,1,10,2000
"2000-01-11",298.612762451172,0.00238873738447865,2000-01-11,11,1,11,2000
"2000-01-12",298.395080566406,0.298309278414081,2000-01-12,12,1,12,2000
"2000-01-13",299.412078857422,1.15301451086998,2000-01-13,13,1,13,2000
"2000-01-14",299.444061279297,1.41670640651137,2000-01-14,14,1,14,2000
"2000-01-15",299.833465576172,1.64972583088093,2000-01-15,15,1,15,2000
"2000-01-16",299.085083007812,2.90705256909132,2000-01-16,16,1,16,2000
"2000-01-17",299.933898925781,0.129322848340962,2000-01-17,17,1,17,2000
"2000-01-18",299.134063720703,0.115866068983451,2000-01-18,18,1,18,2000
"2000-01-19",298.308135986328,2.13930692896247,2000-01-19,19,1,19,2000
"2000-01-20",297.436065673828,3.12872345745564,2000-01-20,20,1,20,2000
"2000-01-21",297.469482421875,1.298360446468,2000-01-21,21,1,21,2000
"2000-01-22",298.087982177734,0.727218357147649,2000-01-22,22,1,22,2000
"2000-01-23",298.251556396484,2.34566858783364,2000-01-23,23,1,23,2000
"2000-01-24",298.231414794922,2.81290075927973,2000-01-24,24,1,24,2000
"2000-01-25",299.169403076172,2.15597089380026,2000-01-25,25,1,25,2000
"2000-01-26",298.768890380859,2.43455972522497,2000-01-26,26,1,26,2000
"2000-01-27",296.581695556641,4.65446230024099,2000-01-27,27,1,27,2000
"2000-01-28",296.332702636719,0.83598409127444,2000-01-28,28,1,28,2000
"2000-01-29",296.552642822266,0.605412931239698,2000-01-29,29,1,29,2000
"2000-01-30",296.160552978516,2.38542238622904,2000-01-30,30,1,30,2000
"2000-01-31",298.063507080078,1.44951408170164,2000-01-31,31,1,31,2000
"2000-02-01",299.469573974609,1.96370187494904,2000-02-01,32,2,1,2000
"2000-02-02",298.188079833984,2.12050164118409,2000-02-02,33,2,2,2000
"2000-02-03",297.691741943359,0.94267670752015,2000-02-03,34,2,3,2000
"2000-02-04",299.369140625,0.108846861869097,2000-02-04,35,2,4,2000
"2000-02-05",298.713897705078,1.58264250308275,2000-02-05,36,2,5,2000
"2000-02-06",297.302276611328,2.21249653957784,2000-02-06,37,2,6,2000
"2000-02-07",297.561676025391,3.08852605521679,2000-02-07,38,2,7,2000
"2000-02-08",298.258697509766,1.72595858946443,2000-02-08,39,2,8,2000
"2000-02-09",298.406402587891,1.08900996111333,2000-02-09,40,2,9,2000
"2000-02-10",299.014038085938,1.66359732300043,2000-02-10,41,2,10,2000
"2000-02-11",299.563751220703,2.95765735208988,2000-02-11,42,2,11,2000
"2000-02-12",299.499114990234,3.76145327091217,2000-02-12,43,2,12,2000
"2000-02-13",299.416778564453,0.80754638556391,2000-02-13,44,2,13,2000
"2000-02-14",299.975952148438,0.425501443445683,2000-02-14,45,2,14,2000
"2000-02-15",299.772552490234,0.3806906810496,2000-02-15,46,2,15,2000
"2000-02-16",297.753387451172,3.86145919468254,2000-02-16,47,2,16,2000
"2000-02-17",296.167816162109,6.32123406231403,2000-02-17,48,2,17,2000
"2000-02-18",295.873931884766,3.38944049552083,2000-02-18,49,2,18,2000
"2000-02-19",296.404113769531,2.69505527243018,2000-02-19,50,2,19,2000
"2000-02-20",296.647369384766,1.46159968338907,2000-02-20,51,2,20,2000
"2000-02-21",297.215972900391,0.39123845170252,2000-02-21,52,2,21,2000
"2000-02-22",297.964263916016,0.166373840416782,2000-02-22,53,2,22,2000
"2000-02-23",298.152130126953,0.505138375447132,2000-02-23,54,2,23,2000
"2000-02-24",298.609191894531,0.827007392421365,2000-02-24,55,2,24,2000
"2000-02-25",298.050628662109,0.516187485773116,2000-02-25,56,2,25,2000
"2000-02-26",298.249114990234,0.494310962269083,2000-02-26,57,2,26,2000
"2000-02-27",298.6455078125,0.155735276406631,2000-02-27,58,2,27,2000
"2000-02-28",299.261505126953,0.354858644772321,2000-02-28,59,2,28,2000
"2000-02-29",299.22998046875,0.398735627066344,2000-02-29,60,2,29,2000
"2000-03-01",298.687225341797,0.955036809667945,2000-03-01,61,3,1,2000
"2000-03-02",298.091705322266,0.946153701283038,2000-03-02,62,3,2,2000
"2000-03-03",298.117156982422,0.392003553919494,2000-03-03,63,3,3,2000
"2000-03-04",298.848754882812,1.79216286167502,2000-03-04,64,3,4,2000
"2000-03-05",298.844482421875,0.744481531437486,2000-03-05,65,3,5,2000
"2000-03-06",299.201232910156,0.189748572345707,2000-03-06,66,3,6,2000
"2000-03-07",297.713775634766,1.37477592972573,2000-03-07,67,3,7,2000
