"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",301.096527099609,3.33266036957502,2000-01-01,1,1,1,2000
"2000-01-02",300.814697265625,2.41585439257324,2000-01-02,2,1,2,2000
"2000-01-03",300.330871582031,3.04126860015094,2000-01-03,3,1,3,2000
"2000-01-04",299.254180908203,3.1127324718982,2000-01-04,4,1,4,2000
"2000-01-05",298.986236572266,3.20860052295029,2000-01-05,5,1,5,2000
"2000-01-06",299.032318115234,4.9849024862051,2000-01-06,6,1,6,2000
"2000-01-07",299.831634521484,3.1127324718982,2000-01-07,7,1,7,2000
"2000-01-08",299.359710693359,3.2127280831337,2000-01-08,8,1,8,2000
"2000-01-09",299.90283203125,3.15994604118168,2000-01-09,9,1,9,2000
"2000-01-10",300.322357177734,3.23980806954205,2000-01-10,10,1,10,2000
"2000-01-11",300.545379638672,3.47996384464204,2000-01-11,11,1,11,2000
"2000-01-12",300.517486572266,3.02049962244928,2000-01-12,12,1,12,2000
"2000-01-13",300.768188476562,3.06330147571862,2000-01-13,13,1,13,2000
"2000-01-14",300.536163330078,3.87287845090032,2000-01-14,14,1,14,2000
"2000-01-15",300.469207763672,2.93877415545285,2000-01-15,15,1,15,2000
"2000-01-16",300.130645751953,3.20461525209248,2000-01-16,16,1,16,2000
"2000-01-17",300.090484619141,2.59299150668085,2000-01-17,17,1,17,2000
"2000-01-18",300.087860107422,3.78344684280455,2000-01-18,18,1,18,2000
"2000-01-19",300.335479736328,4.28087752312422,2000-01-19,19,1,19,2000
"2000-01-20",299.914581298828,3.97290688753128,2000-01-20,20,1,20,2000
"2000-01-21",300.064208984375,5.02645318210125,2000-01-21,21,1,21,2000
"2000-01-22",300.466247558594,6.63995461165905,2000-01-22,22,1,22,2000
"2000-01-23",300.576110839844,4.95202088356018,2000-01-23,23,1,23,2000
"2000-01-24",300.622375488281,2.59999037161469,2000-01-24,24,1,24,2000
"2000-01-25",301.067199707031,0.426190121448599,2000-01-25,25,1,25,2000
"2000-01-26",301.310241699219,0.439729469646409,2000-01-26,26,1,26,2000
"2000-01-27",301.382476806641,1.69208653678652,2000-01-27,27,1,27,2000
"2000-01-28",301.229827880859,1.89116239733994,2000-01-28,28,1,28,2000
"2000-01-29",301.322174072266,2.88764655354316,2000-01-29,29,1,29,2000
"2000-01-30",301.516021728516,2.3007725449279,2000-01-30,30,1,30,2000
"2000-01-31",301.264038085938,2.28988700185437,2000-01-31,31,1,31,2000
"2000-02-01",300.846832275391,3.37170780822635,2000-02-01,32,2,1,2000
"2000-02-02",300.344329833984,3.12633861281211,2000-02-02,33,2,2,2000
"2000-02-03",300.341796875,2.29399765329435,2000-02-03,34,2,3,2000
"2000-02-04",300.447601318359,3.09284665668383,2000-02-04,35,2,4,2000
"2000-02-05",300.605499267578,2.4573888219893,2000-02-05,36,2,5,2000
"2000-02-06",300.471862792969,1.40538086695597,2000-02-06,37,2,6,2000
"2000-02-07",300.49560546875,3.00116575881839,2000-02-07,38,2,7,2000
"2000-02-08",299.779541015625,3.98580072447658,2000-02-08,39,2,8,2000
"2000-02-09",300.718902587891,5.31299975514412,2000-02-09,40,2,9,2000
"2000-02-10",301.098999023438,2.82504536304623,2000-02-10,41,2,10,2000
"2000-02-11",300.882415771484,1.7202108791098,2000-02-11,42,2,11,2000
"2000-02-12",300.275146484375,4.84422221779823,2000-02-12,43,2,12,2000
"2000-02-13",300.295349121094,5.06148565560579,2000-02-13,44,2,13,2000
"2000-02-14",299.987335205078,5.88071393966675,2000-02-14,45,2,14,2000
"2000-02-15",299.107208251953,6.06383706629276,2000-02-15,46,2,15,2000
"2000-02-16",299.275543212891,6.59264872223139,2000-02-16,47,2,16,2000
"2000-02-17",299.50341796875,3.87921293824911,2000-02-17,48,2,17,2000
"2000-02-18",299.521087646484,4.39271730184555,2000-02-18,49,2,18,2000
"2000-02-19",299.388488769531,4.13803449645638,2000-02-19,50,2,19,2000
"2000-02-20",299.528900146484,5.36786986887455,2000-02-20,51,2,20,2000
"2000-02-21",299.230316162109,5.94895578920841,2000-02-21,52,2,21,2000
"2000-02-22",299.606506347656,6.36573393642902,2000-02-22,53,2,22,2000
"2000-02-23",300.234832763672,4.95058181881905,2000-02-23,54,2,23,2000
"2000-02-24",299.974090576172,5.88965091109276,2000-02-24,55,2,24,2000
"2000-02-25",300.149261474609,3.40427431091666,2000-02-25,56,2,25,2000
"2000-02-26",300.239990234375,4.70482996851206,2000-02-26,57,2,26,2000
"2000-02-27",300.083984375,6.03173607587814,2000-02-27,58,2,27,2000
"2000-02-28",300.255645751953,4.06372188031673,2000-02-28,59,2,28,2000
"2000-02-29",299.999847412109,4.55372415482998,2000-02-29,60,2,29,2000
"2000-03-01",300.132537841797,5.32349026203156,2000-03-01,61,3,1,2000
"2000-03-02",300.154876708984,6.4383687376976,2000-03-02,62,3,2,2000
"2000-03-03",300.408843994141,5.82822127640247,2000-03-03,63,3,3,2000
"2000-03-04",300.556427001953,4.27180662751198,2000-03-04,64,3,4,2000
"2000-03-05",301.116607666016,4.44220314174891,2000-03-05,65,3,5,2000
"2000-03-06",300.575592041016,5.17112335935235,2000-03-06,66,3,6,2000
"2000-03-07",300.220275878906,4.29140702262521,2000-03-07,67,3,7,2000
"2000-03-08",299.988922119141,5.10526344925165,2000-03-08,68,3,8,2000
"2000-03-09",299.714813232422,5.25336539000273,2000-03-09,69,3,9,2000
"2000-03-10",300.127227783203,6.27115523815155,2000-03-10,70,3,10,2000
"2000-03-11",300.364593505859,4.12479271739721,2000-03-11,71,3,11,2000
"2000-03-12",300.283081054688,3.37958254665136,2000-03-12,72,3,12,2000
"2000-03-13",299.946319580078,3.94362773001194,2000-03-13,73,3,13,2000
"2000-03-14",300.121002197266,3.23770334944129,2000-03-14,74,3,14,2000
"2000-03-15",300.988189697266,2.42303733155131,2000-03-15,75,3,15,2000
"2000-03-16",301.139953613281,2.30633895471692,2000-03-16,76,3,16,2000
"2000-03-17",301.250640869141,2.69514284655452,2000-03-17,77,3,17,2000
"2000-03-18",301.2666015625,2.38552441075444,2000-03-18,78,3,18,2000
"2000-03-19",300.967468261719,2.73918387293816,2000-03-19,79,3,19,2000
