"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",295.620635986328,6.26844452321529,2000-01-01,1,1,1,2000
"2000-01-02",294.456298828125,5.85918937623501,2000-01-02,2,1,2,2000
"2000-01-03",293.084777832031,5.75945957005024,2000-01-03,3,1,3,2000
"2000-01-04",294.530883789062,3.21909062936902,2000-01-04,4,1,4,2000
"2000-01-05",295.995330810547,2.05957804992795,2000-01-05,5,1,5,2000
"2000-01-06",296.304779052734,3.29672740399837,2000-01-06,6,1,6,2000
"2000-01-07",296.196533203125,2.54891530051827,2000-01-07,7,1,7,2000
"2000-01-08",296.21875,1.65229770727456,2000-01-08,8,1,8,2000
"2000-01-09",297.044769287109,2.70748514682055,2000-01-09,9,1,9,2000
"2000-01-10",297.832122802734,2.54947269707918,2000-01-10,10,1,10,2000
"2000-01-11",297.304168701172,3.18861283361912,2000-01-11,11,1,11,2000
"2000-01-12",297.824768066406,2.23697149194777,2000-01-12,12,1,12,2000
"2000-01-13",298.282196044922,4.40956738591194,2000-01-13,13,1,13,2000
"2000-01-14",298.277374267578,2.13263618201017,2000-01-14,14,1,14,2000
"2000-01-15",297.956512451172,3.26954571157694,2000-01-15,15,1,15,2000
"2000-01-16",297.790802001953,3.04240875691175,2000-01-16,16,1,16,2000
"2000-01-17",299.506805419922,2.36430624686182,2000-01-17,17,1,17,2000
"2000-01-18",298.346954345703,1.58345874398947,2000-01-18,18,1,18,2000
"2000-01-19",296.509979248047,4.96077641099691,2000-01-19,19,1,19,2000
"2000-01-20",294.801605224609,1.92406432330608,2000-01-20,20,1,20,2000
"2000-01-21",294.438873291016,1.14068607334048,2000-01-21,21,1,21,2000
"2000-01-22",296.070739746094,1.20423247199506,2000-01-22,22,1,22,2000
"2000-01-23",295.545837402344,0.222732016676673,2000-01-23,23,1,23,2000
"2000-01-24",295.776672363281,1.93134995177388,2000-01-24,24,1,24,2000
"2000-01-25",296.724761962891,3.19839226454496,2000-01-25,25,1,25,2000
"2000-01-26",295.758483886719,6.70129109174013,2000-01-26,26,1,26,2000
"2000-01-27",293.573883056641,5.30273876339197,2000-01-27,27,1,27,2000
"2000-01-28",292.644561767578,1.98759917542338,2000-01-28,28,1,28,2000
"2000-01-29",292.327056884766,0.63689677700313,2000-01-29,29,1,29,2000
"2000-01-30",293.717529296875,1.78787508839741,2000-01-30,30,1,30,2000
"2000-01-31",295.875366210938,1.97861042432487,2000-01-31,31,1,31,2000
"2000-02-01",297.66552734375,1.99330935860053,2000-02-01,32,2,1,2000
"2000-02-02",296.192291259766,3.88273855298758,2000-02-02,33,2,2,2000
"2000-02-03",296.819976806641,0.830797131173313,2000-02-03,34,2,3,2000
"2000-02-04",297.896484375,1.11391282174736,2000-02-04,35,2,4,2000
"2000-02-05",296.061248779297,6.24188300967216,2000-02-05,36,2,5,2000
"2000-02-06",295.063018798828,1.98754812218249,2000-02-06,37,2,6,2000
"2000-02-07",294.654144287109,3.83229887485504,2000-02-07,38,2,7,2000
"2000-02-08",294.851470947266,6.78114408999681,2000-02-08,39,2,8,2000
"2000-02-09",296.552551269531,4.81739857792854,2000-02-09,40,2,9,2000
"2000-02-10",296.700561523438,4.54606804996729,2000-02-10,41,2,10,2000
"2000-02-11",296.226501464844,3.39059053361416,2000-02-11,42,2,11,2000
"2000-02-12",297.474029541016,3.37996264640242,2000-02-12,43,2,12,2000
"2000-02-13",296.502716064453,3.88488082587719,2000-02-13,44,2,13,2000
"2000-02-14",297.057647705078,3.04423307627439,2000-02-14,45,2,14,2000
"2000-02-15",296.893646240234,3.28686257451773,2000-02-15,46,2,15,2000
"2000-02-16",294.750457763672,7.91219526529312,2000-02-16,47,2,16,2000
"2000-02-17",293.051910400391,7.7391442656517,2000-02-17,48,2,17,2000
"2000-02-18",292.494049072266,3.51430784910917,2000-02-18,49,2,18,2000
"2000-02-19",292.755340576172,3.85574655979872,2000-02-19,50,2,19,2000
"2000-02-20",293.876556396484,4.54897617548704,2000-02-20,51,2,20,2000
"2000-02-21",294.713714599609,1.48135121166706,2000-02-21,52,2,21,2000
