"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",298.155792236328,5.00157618522644,2000-01-01,1,1,1,2000
"2000-01-02",296.405517578125,4.59728892147541,2000-01-02,2,1,2,2000
"2000-01-03",295.338043212891,5.37490338087082,2000-01-03,3,1,3,2000
"2000-01-04",294.943634033203,3.84744441136718,2000-01-04,4,1,4,2000
"2000-01-05",296.096588134766,2.11569112539291,2000-01-05,5,1,5,2000
"2000-01-06",296.109130859375,1.5820965282619,2000-01-06,6,1,6,2000
"2000-01-07",297.021728515625,1.88427562266588,2000-01-07,7,1,7,2000
"2000-01-08",296.908843994141,0.635655458949259,2000-01-08,8,1,8,2000
"2000-01-09",296.898284912109,1.81692573055625,2000-01-09,9,1,9,2000
"2000-01-10",296.955841064453,0.779342378897127,2000-01-10,10,1,10,2000
"2000-01-11",297.746887207031,1.34788512811065,2000-01-11,11,1,11,2000
"2000-01-12",297.025299072266,2.57244268618524,2000-01-12,12,1,12,2000
"2000-01-13",297.884399414062,1.74871158075985,2000-01-13,13,1,13,2000
"2000-01-14",299.395538330078,1.31343371514231,2000-01-14,14,1,14,2000
"2000-01-15",299.611114501953,1.36065721948398,2000-01-15,15,1,15,2000
"2000-01-16",299.277801513672,3.85052309930325,2000-01-16,16,1,16,2000
"2000-01-17",298.756805419922,3.28070060163736,2000-01-17,17,1,17,2000
"2000-01-18",298.235626220703,3.06542951613665,2000-01-18,18,1,18,2000
"2000-01-19",298.316925048828,1.97263872437179,2000-01-19,19,1,19,2000
"2000-01-20",298.189300537109,1.91220904747024,2000-01-20,20,1,20,2000
"2000-01-21",297.862396240234,1.23864917643368,2000-01-21,21,1,21,2000
"2000-01-22",297.341247558594,1.69983250403311,2000-01-22,22,1,22,2000
"2000-01-23",297.429626464844,1.46391439344734,2000-01-23,23,1,23,2000
"2000-01-24",297.564117431641,0.873950784094632,2000-01-24,24,1,24,2000
"2000-01-25",298.407684326172,1.59013317339122,2000-01-25,25,1,25,2000
"2000-01-26",297.968780517578,4.21595789119601,2000-01-26,26,1,26,2000
"2000-01-27",295.766571044922,6.77418045327067,2000-01-27,27,1,27,2000
"2000-01-28",294.268249511719,2.00693070236593,2000-01-28,28,1,28,2000
"2000-01-29",294.717681884766,0.93131378426915,2000-01-29,29,1,29,2000
"2000-01-30",296.258880615234,1.35374869096268,2000-01-30,30,1,30,2000
"2000-01-31",297.624053955078,2.97442864626646,2000-01-31,31,1,31,2000
"2000-02-01",296.708160400391,3.29828779771924,2000-02-01,32,2,1,2000
"2000-02-02",298.477783203125,4.12148881703615,2000-02-02,33,2,2,2000
"2000-02-03",297.582672119141,2.43421164341271,2000-02-03,34,2,3,2000
"2000-02-04",297.092437744141,1.625799942296,2000-02-04,35,2,4,2000
"2000-02-05",297.853546142578,3.38688683882356,2000-02-05,36,2,5,2000
"2000-02-06",297.850769042969,1.78991571580991,2000-02-06,37,2,6,2000
