"","temp","precip","Date","Nday","Month","Day","Year"
"2000-01-01",302.363128662109,0.431806693630051,2000-01-01,1,1,1,2000
"2000-01-02",301.717376708984,0.0484034480411992,2000-01-02,2,1,2,2000
"2000-01-03",303.025848388672,0.274800428325534,2000-01-03,3,1,3,2000
"2000-01-04",304.476196289062,0.089678686868865,2000-01-04,4,1,4,2000
"2000-01-05",305.975799560547,0.23971706663724,2000-01-05,5,1,5,2000
"2000-01-06",305.760162353516,0.308001941371913,2000-01-06,6,1,6,2000
"2000-01-07",305.685791015625,0.862316448241472,2000-01-07,7,1,7,2000
"2000-01-08",305.444976806641,0.780963306962803,2000-01-08,8,1,8,2000
"2000-01-09",305.60107421875,1.4638820332475,2000-01-09,9,1,9,2000
"2000-01-10",304.586364746094,1.90342767443508,2000-01-10,10,1,10,2000
"2000-01-11",305.200347900391,0.973225530993659,2000-01-11,11,1,11,2000
"2000-01-12",306.773010253906,0.236698665194126,2000-01-12,12,1,12,2000
"2000-01-13",306.063110351562,1.05874840690649,2000-01-13,13,1,13,2000
"2000-01-14",304.810577392578,1.64110286906362,2000-01-14,14,1,14,2000
"2000-01-15",305.261505126953,0.834275469183922,2000-01-15,15,1,15,2000
"2000-01-16",306.980926513672,0.0597066126501886,2000-01-16,16,1,16,2000
"2000-01-17",307.264953613281,0.103809756717681,2000-01-17,17,1,17,2000
"2000-01-18",307.306915283203,1.44548681098968,2000-01-18,18,1,18,2000
"2000-01-19",304.864135742188,2.54450061172247,2000-01-19,19,1,19,2000
"2000-01-20",302.451995849609,1.90362374857068,2000-01-20,20,1,20,2000
"2000-01-21",305.649810791016,0.0688999020176198,2000-01-21,21,1,21,2000
"2000-01-22",306.076934814453,0.269167114326065,2000-01-22,22,1,22,2000
"2000-01-23",306.261993408203,1.48902051709592,2000-01-23,23,1,23,2000
"2000-01-24",305.678039550781,2.30255301017314,2000-01-24,24,1,24,2000
"2000-01-25",302.932098388672,3.15655283257365,2000-01-25,25,1,25,2000
"2000-01-26",302.486022949219,3.28476093709469,2000-01-26,26,1,26,2000
"2000-01-27",303.404937744141,0.411490701517323,2000-01-27,27,1,27,2000
"2000-01-28",304.373718261719,0.160388759204565,2000-01-28,28,1,28,2000
"2000-01-29",304.218658447266,1.50675481744111,2000-01-29,29,1,29,2000
"2000-01-30",304.108489990234,2.24668358452618,2000-01-30,30,1,30,2000
"2000-01-31",304.470733642578,1.15113995628781,2000-01-31,31,1,31,2000
"2000-02-01",305.79833984375,0.154841110796042,2000-02-01,32,2,1,2000
"2000-02-02",306.899658203125,0.202969225377558,2000-02-02,33,2,2,2000
